"id","num_amino_acids_in_sample","num_beta_amino_acids_in_sample","numberofAA","num_baa"
"Q03305",22,0,NA,NA
"Q12455",23,11,NA,NA
"P38523",19,0,NA,NA
"Q03661",17,0,NA,NA
"Q06506",11,0,NA,NA
"P25555",12,0,NA,NA
"Q12387",14,0,NA,NA
"P38803",16,0,NA,NA
"P28625",29,16,NA,NA
"P39101",14,0,NA,NA
"P37370",23,0,NA,NA
"P32835",13,3,NA,NA
"P47035",15,0,NA,NA
"P48606",13,0,NA,NA
"P22276",19,0,NA,NA
"Q3E7Y3",9,6,NA,NA
"P53295",33,4,NA,NA
"Q08723",94,22,NA,NA
"P38237",18,0,NA,NA
"P25626",21,10,NA,NA
"P36069",15,4,NA,NA
"P25037",32,18,NA,NA
"Q07953",7,5,NA,NA
"P38792",34,6,NA,NA
"P25654",7,6,NA,NA
"Q08686",20,4,NA,NA
"Q08726",14,6,NA,NA
"Q12099",21,4,NA,NA
"P32570",10,0,NA,NA
"P01120",33,0,NA,NA
"Q05931",27,18,NA,NA
"P38833",15,6,NA,NA
"P11491",19,6,NA,NA
"P19073",28,4,NA,NA
"P36006",18,0,NA,NA
"P18899",145,0,NA,NA
"Q03063",33,6,NA,NA
"Q12191",30,0,NA,NA
"P38827",8,4,NA,NA
"P53946",9,0,NA,NA
"P32623",11,5,NA,NA
"P43554",10,0,NA,NA
"P48837",12,0,NA,NA
"P53073",10,0,NA,NA
"P40353",37,3,NA,NA
"P47045",30,5,NA,NA
"P38281",63,23,NA,NA
"P16547",14,0,NA,NA
"P32453",11,7,NA,NA
"Q03834",9,0,NA,NA
"P26755",33,15,NA,NA
"Q08962",19,5,NA,NA
"Q06680",14,0,NA,NA
"Q07688",13,0,NA,NA
"P40059",14,0,NA,NA
"P34248",28,0,NA,NA
"P53954",13,0,NA,NA
"P47135",29,6,NA,NA
"P47031",9,0,NA,NA
"P40086",14,0,NA,NA
"Q12676",20,5,NA,NA
"Q03525",14,0,NA,NA
"P40348",25,0,NA,NA
"P26754",48,26,NA,NA
"P25808",26,5,NA,NA
"P53164",32,1,NA,NA
"P43619",7,0,NA,NA
"Q03799",14,5,NA,NA
"P40318",12,0,NA,NA
"Q12060",11,0,NA,NA
"Q08199",16,0,NA,NA
"P46678",11,0,NA,NA
"Q08960",14,0,NA,NA
"P41813",9,0,NA,NA
"P21306",13,2,NA,NA
"Q12690",29,0,NA,NA
"P49166",17,0,NA,NA
"P51402",9,0,NA,NA
"P53094",7,0,NA,NA
"P07866",15,0,NA,NA
"Q03630",16,0,NA,NA
"P40007",12,0,NA,NA
"P22023",24,9,NA,NA
"Q12496",50,0,NA,NA
"P19146",39,14,NA,NA
"P38616",12,3,NA,NA
"P46992",27,11,NA,NA
"P47095",25,6,NA,NA
"P11076",53,18,NA,NA
"P23642",11,0,NA,NA
"Q03219",30,4,NA,NA
"Q3E793",24,7,NA,NA
"P38624",11,9,NA,NA
"Q12034",18,0,NA,NA
"P43561",9,4,NA,NA
"P32657",10,0,NA,NA
"Q05933",30,4,NA,NA
"P40850",15,4,NA,NA
"P34240",9,0,NA,NA
"P47165",45,20,NA,NA
"Q12010",10,0,NA,NA
"Q12063",10,0,NA,NA
"P40989",33,0,NA,NA
"Q02875",15,0,NA,NA
"P36103",20,0,NA,NA
"P39706",13,0,NA,NA
"P36041",13,0,NA,NA
"Q12156",11,0,NA,NA
"P32335",14,0,NA,NA
"P53218",10,0,NA,NA
"P40070",11,0,NA,NA
"P22082",10,0,NA,NA
"P38759",25,6,NA,NA
"Q05031",13,0,NA,NA
"P47017",7,7,NA,NA
"P32843",49,0,NA,NA
"Q12207",33,0,NA,NA
"P24000",12,5,NA,NA
"P04449",12,5,NA,NA
"Q12122",20,6,NA,NA
"Q92317",14,0,NA,NA
"P47103",20,13,NA,NA
"P25361",12,0,NA,NA
"P53123",7,0,NA,NA
"Q04739",17,11,NA,NA
"P40005",21,8,NA,NA
"P40516",13,0,NA,NA
"P40454",20,0,NA,NA
"P23595",18,6,NA,NA
"P80967",15,0,NA,NA
"P53847",20,0,NA,NA
"P53900",30,5,NA,NA
"Q04632",19,0,NA,NA
"Q12016",11,0,NA,NA
"Q06107",14,0,NA,NA
"P38806",22,0,NA,NA
"Q3E7X9",11,4,NA,NA
"P32353",32,0,NA,NA
"P38307",17,0,NA,NA
"Q99385",17,0,NA,NA
"P35183",12,0,NA,NA
"Q06632",21,0,NA,NA
"P52891",41,0,NA,NA
"P42938",8,0,NA,NA
"P11433",22,0,NA,NA
"P16622",45,9,NA,NA
"Q04322",22,0,NA,NA
"P32349",16,0,NA,NA
"Q01217",33,5,NA,NA
"P38193",15,0,NA,NA
"P03872",45,0,NA,NA
"Q00362",15,0,NA,NA
"P53250",15,5,NA,NA
"P40056",16,0,NA,NA
"P33331",55,13,NA,NA
"P25365",7,5,NA,NA
"P40317",9,0,NA,NA
"Q07395",8,0,NA,NA
"P28273",54,9,NA,NA
"P34162",11,5,NA,NA
"P32604",12,7,NA,NA
"P33307",102,0,NA,NA
"P19956",11,0,NA,NA
"P06780",71,14,NA,NA
"P06781",11,4,NA,NA
"Q05874",61,7,NA,NA
"P46970",38,0,NA,NA
"P49017",26,0,NA,NA
"P06102",35,1,NA,NA
"Q07915",10,0,NA,NA
"P40037",80,29,NA,NA
"P35179",10,0,NA,NA
"Q07979",15,0,NA,NA
"P36534",12,0,NA,NA
"P25386",27,0,NA,NA
"P32523",10,0,NA,NA
"Q03429",18,0,NA,NA
"P53834",12,4,NA,NA
"P53829",12,0,NA,NA
"P34243",12,3,NA,NA
"P53070",15,0,NA,NA
"P23292",17,0,NA,NA
"P39526",12,0,NA,NA
"P40481",12,7,NA,NA
"P38067",25,6,NA,NA
"P40518",43,0,NA,NA
"P12385",122,28,NA,NA
"Q12427",14,0,NA,NA
"P43597",14,0,NA,NA
"P06700",13,0,NA,NA
"P38929",14,0,NA,NA
"Q02767",13,0,NA,NA
"P22517",11,0,NA,NA
"P40582",30,0,NA,NA
"P07143",16,0,NA,NA
"Q06177",9,0,NA,NA
"P35197",30,0,NA,NA
"P22855",10,6,NA,NA
"P50089",9,0,NA,NA
"P18852",17,0,NA,NA
"P35203",15,6,NA,NA
"P47076",24,0,NA,NA
"P23291",22,0,NA,NA
"P43596",24,0,NA,NA
"P36037",40,0,NA,NA
"P38348",36,0,NA,NA
"P48360",9,0,NA,NA
"P53317",13,0,NA,NA
"P50102",10,7,NA,NA
"P40856",15,0,NA,NA
"P53079",36,0,NA,NA
"P16451",26,0,NA,NA
"P46676",24,0,NA,NA
"P41896",8,1,NA,NA
"P38845",37,0,NA,NA
"P48524",11,1,NA,NA
"P32784",42,5,NA,NA
"P53877",23,13,NA,NA
"Q01159",14,6,NA,NA
"P32316",29,3,NA,NA
"P33775",68,8,NA,NA
"P32386",68,15,NA,NA
"Q12406",21,5,NA,NA
"Q05543",23,0,NA,NA
"Q01080",15,0,NA,NA
"P40540",13,0,NA,NA
"P41921",55,16,NA,NA
"P12868",31,12,NA,NA
"Q99257",47,15,NA,NA
"P38688",37,0,NA,NA
"P38225",52,7,NA,NA
"Q12100",15,0,NA,NA
"P25360",27,0,NA,NA
"P21373",11,0,NA,NA
"Q06708",21,0,NA,NA
"Q12071",18,0,NA,NA
"P53114",8,0,NA,NA
"P33296",35,14,NA,NA
"Q04458",14,0,NA,NA
"P06244",13,1,NA,NA
"P38758",22,0,NA,NA
"Q12028",10,0,NA,NA
"P41819",21,7,NA,NA
"P33332",11,0,NA,NA
"Q04493",35,9,NA,NA
"Q04781",23,0,NA,NA
"P28000",40,9,NA,NA
"Q12283",17,3,NA,NA
"P53965",11,0,NA,NA
"P53154",28,0,NA,NA
"Q12341",7,0,NA,NA
"P17106",16,0,NA,NA
"P47124",10,7,NA,NA
"P32342",27,0,NA,NA
"Q06350",15,0,NA,NA
"Q04472",15,0,NA,NA
"P39940",10,0,NA,NA
"Q02455",54,0,NA,NA
"Q12043",37,0,NA,NA
"P07703",12,5,NA,NA
"P32496",35,0,NA,NA
"P33753",18,3,NA,NA
"P38798",7,0,NA,NA
"P32559",13,0,NA,NA
"P32644",17,0,NA,NA
"Q3E798",12,0,NA,NA
"P08004",14,0,NA,NA
"Q03177",15,4,NA,NA
"Q08773",9,0,NA,NA
"P32862",12,0,NA,NA
"Q12429",18,7,NA,NA
"P31380",13,3,NA,NA
"P38085",13,0,NA,NA
"P40208",11,0,NA,NA
"P53293",7,0,NA,NA
"P40557",10,7,NA,NA
"P47064",13,0,NA,NA
"P38198",7,0,NA,NA
"P53734",12,0,NA,NA
"Q05934",23,0,NA,NA
"Q08484",11,0,NA,NA
"P38988",71,0,NA,NA
"Q05580",23,0,NA,NA
"P53941",8,2,NA,NA
"P38206",11,0,NA,NA
"P38272",9,0,NA,NA
"P21182",40,9,NA,NA
"Q12415",30,4,NA,NA
"Q02948",7,0,NA,NA
"P21243",44,12,NA,NA
"P38712",12,0,NA,NA
"P27515",8,2,NA,NA
"Q06218",47,0,NA,NA
"Q03496",9,0,NA,NA
"Q08299",14,0,NA,NA
"Q01852",52,9,NA,NA
"P53192",25,0,NA,NA
"P52488",18,0,NA,NA
"Q04177",40,15,NA,NA
"P32642",23,7,NA,NA
"P54784",15,6,NA,NA
"P53875",21,3,NA,NA
"P25631",35,0,NA,NA
"P53173",38,0,NA,NA
"Q12355",15,3,NA,NA
"P32500",46,1,NA,NA
"Q02206",11,7,NA,NA
"P50087",20,0,NA,NA
"P53333",25,0,NA,NA
"Q12166",33,8,NA,NA
"P53040",39,10,NA,NA
"P53909",21,4,NA,NA
"Q03503",8,4,NA,NA
"P47037",21,5,NA,NA
"Q01574",10,5,NA,NA
"P49367",76,28,NA,NA
"P53172",61,10,NA,NA
"Q04264",31,0,NA,NA
"P38314",71,21,NA,NA
"P34227",11,4,NA,NA
"P53326",25,0,NA,NA
"P53874",15,3,NA,NA
"P50086",21,0,NA,NA
"Q12055",9,6,NA,NA
"Q08732",11,4,NA,NA
"P36523",21,0,NA,NA
"P0C2H8",9,2,NA,NA
"P53617",12,0,NA,NA
"P46673",23,4,NA,NA
"Q00402",9,0,NA,NA
"P10662",14,0,NA,NA
"P38910",57,25,NA,NA
"P39525",40,15,NA,NA
"P34226",9,0,NA,NA
"Q03104",28,1,NA,NA
"Q03362",39,0,NA,NA
"P53045",51,0,NA,NA
"P21375",14,0,NA,NA
"Q04869",52,10,NA,NA
"P33399",23,5,NA,NA
"P39726",37,2,NA,NA
"P24276",115,20,NA,NA
"P38181",12,9,NA,NA
"P25576",24,4,NA,NA
"P38121",7,0,NA,NA
"Q02932",33,0,NA,NA
"P47110",18,2,NA,NA
"P53076",15,0,NA,NA
"P23180",24,7,NA,NA
"Q06511",11,0,NA,NA
"Q06217",30,16,NA,NA
"P33767",34,8,NA,NA
"P19812",49,1,NA,NA
"P36051",19,9,NA,NA
"P38996",27,9,NA,NA
"P40015",27,17,NA,NA
"P09457",51,3,NA,NA
"Q08816",7,0,NA,NA
"Q05881",15,0,NA,NA
"Q06631",27,0,NA,NA
"Q12386",30,6,NA,NA
"P38151",14,4,NA,NA
"P00546",14,0,NA,NA
"P52553",37,1,NA,NA
"P38630",8,0,NA,NA
"P53929",15,4,NA,NA
"Q01722",7,0,NA,NA
"P17157",30,0,NA,NA
"P21827",45,13,NA,NA
"P53878",71,5,NA,NA
"P40580",36,9,NA,NA
"P53196",13,9,NA,NA
"Q04080",23,5,NA,NA
"P34241",16,0,NA,NA
"P22141",27,14,NA,NA
"P53011",14,12,NA,NA
"Q04119",22,6,NA,NA
"P40857",55,0,NA,NA
"P54860",64,0,NA,NA
"P47130",11,1,NA,NA
"P32502",61,15,NA,NA
"P32259",42,3,NA,NA
"Q06252",93,31,NA,NA
"Q06682",26,0,NA,NA
"P39945",15,6,NA,NA
"Q08689",27,0,NA,NA
"Q99312",31,9,NA,NA
"P47089",27,0,NA,NA
"Q12502",11,0,NA,NA
"Q06485",25,0,NA,NA
"P33297",44,6,NA,NA
"P42838",11,0,NA,NA
"P38182",18,6,NA,NA
"P38248",41,14,NA,NA
"P14120",72,16,NA,NA
"Q01477",17,13,NA,NA
"P04650",11,2,NA,NA
"Q02457",20,0,NA,NA
"Q03516",27,5,NA,NA
"P47019",25,0,NA,NA
"P17536",83,0,NA,NA
"P53115",18,0,NA,NA
"P36090",11,0,NA,NA
"P12962",45,0,NA,NA
"P35189",50,14,NA,NA
"P15179",11,7,NA,NA
"P25339",54,0,NA,NA
"Q02642",73,9,NA,NA
"P33411",11,0,NA,NA
"P05755",16,0,NA,NA
"P48836",26,0,NA,NA
"P32356",77,11,NA,NA
"P21801",11,6,NA,NA
"P38913",13,6,NA,NA
"P52917",11,3,NA,NA
"P20485",21,2,NA,NA
"P38604",10,0,NA,NA
"P40533",41,8,NA,NA
"P10869",60,18,NA,NA
"P39929",15,0,NA,NA
"P32590",36,2,NA,NA
"P36048",19,10,NA,NA
"P34253",11,5,NA,NA
"Q02884",15,4,NA,NA
"Q06205",30,13,NA,NA
"P53273",7,0,NA,NA
"P40368",39,13,NA,NA
"P39966",44,10,NA,NA
"P29547",102,4,NA,NA
"P38886",63,19,NA,NA
"P38837",33,0,NA,NA
"P38829",19,2,NA,NA
"Q12270",17,0,NA,NA
"P42842",24,6,NA,NA
"Q06338",38,9,NA,NA
"P20459",56,24,NA,NA
"Q05785",22,0,NA,NA
"P32832",11,2,NA,NA
"P40347",13,7,NA,NA
"P46971",32,10,NA,NA
"Q12451",8,0,NA,NA
"P25605",82,25,NA,NA
"Q08237",19,11,NA,NA
"P53185",15,0,NA,NA
"Q12297",8,0,NA,NA
"P40064",51,10,NA,NA
"P43585",27,0,NA,NA
"P38732",33,0,NA,NA
"Q12532",11,1,NA,NA
"P53131",81,22,NA,NA
"P40362",18,8,NA,NA
"P09959",12,0,NA,NA
"Q08220",47,0,NA,NA
"Q12250",111,3,NA,NA
"P43621",34,19,NA,NA
"P32485",25,0,NA,NA
"Q07451",22,0,NA,NA
"Q12306",40,15,NA,NA
"P28007",29,14,NA,NA
"P53379",20,10,NA,NA
"Q12271",57,12,NA,NA
"Q08961",9,3,NA,NA
"P38903",31,0,NA,NA
"P32634",31,0,NA,NA
"P46948",28,8,NA,NA
"Q12008",8,3,NA,NA
"P35688",13,0,NA,NA
"P38736",10,0,NA,NA
"P32329",33,12,NA,NA
"Q07551",111,25,NA,NA
"P47018",58,21,NA,NA
"P39926",10,0,NA,NA
"Q02785",39,16,NA,NA
"P48362",27,0,NA,NA
"P20448",26,9,NA,NA
"Q12009",23,4,NA,NA
"P48365",8,3,NA,NA
"P38080",86,3,NA,NA
"P53233",8,0,NA,NA
"P29366",18,1,NA,NA
"Q05778",52,7,NA,NA
"P46985",36,0,NA,NA
"P18900",23,0,NA,NA
"P33334",36,0,NA,NA
"P23059",23,18,NA,NA
"P38149",37,20,NA,NA
"P50946",28,5,NA,NA
"P27466",10,0,NA,NA
"P53228",11,0,NA,NA
"Q12453",39,0,NA,NA
"P19454",54,13,NA,NA
"Q04958",30,5,NA,NA
"Q12255",36,0,NA,NA
"P53075",26,0,NA,NA
"P32855",75,0,NA,NA
"P14906",60,15,NA,NA
"P08964",18,2,NA,NA
"Q12402",8,0,NA,NA
"Q02979",34,0,NA,NA
"P04821",27,0,NA,NA
"P04819",22,8,NA,NA
"P41734",7,0,NA,NA
"Q05021",11,1,NA,NA
"P25623",47,6,NA,NA
"P40986",37,9,NA,NA
"P08466",22,0,NA,NA
"P53155",27,3,NA,NA
"P20107",17,0,NA,NA
"P40350",13,0,NA,NA
"Q03330",10,0,NA,NA
"P49956",12,5,NA,NA
"Q02931",93,45,NA,NA
"P39969",11,0,NA,NA
"Q03648",23,5,NA,NA
"P08539",7,0,NA,NA
"P40363",39,11,NA,NA
"Q06245",11,0,NA,NA
"P40099",49,8,NA,NA
"P30771",17,1,NA,NA
"P18414",19,0,NA,NA
"P36040",83,13,NA,NA
"P35728",15,6,NA,NA
"P32629",18,6,NA,NA
"P40339",17,0,NA,NA
"P53066",37,0,NA,NA
"Q03337",34,4,NA,NA
"P47108",24,0,NA,NA
"P25572",9,1,NA,NA
"Q07716",68,7,NA,NA
"Q05946",51,29,NA,NA
"Q02908",18,3,NA,NA
"P32462",19,2,NA,NA
"P40093",76,18,NA,NA
"P53261",13,0,NA,NA
"P53899",8,0,NA,NA
"P52593",86,0,NA,NA
"Q06630",10,6,NA,NA
"P87284",19,0,NA,NA
"Q12179",12,0,NA,NA
"P40469",19,0,NA,NA
"Q03016",43,1,NA,NA
"P16661",14,5,NA,NA
"P53332",68,13,NA,NA
"Q12377",22,0,NA,NA
"P40106",38,11,NA,NA
"P25371",28,5,NA,NA
"P40468",27,0,NA,NA
"P47127",20,9,NA,NA
"P54964",44,14,NA,NA
"Q07897",22,0,NA,NA
"P36775",97,12,NA,NA
"Q06677",13,0,NA,NA
"Q12241",20,0,NA,NA
"P24031",28,0,NA,NA
"P40991",91,20,NA,NA
"P69850",9,0,NA,NA
"Q07508",13,0,NA,NA
"P53281",15,8,NA,NA
"P09733",76,11,NA,NA
"Q12354",18,7,NA,NA
"P50108",33,12,NA,NA
"Q99383",40,4,NA,NA
"P42935",35,16,NA,NA
"P20604",11,2,NA,NA
"Q12038",18,10,NA,NA
"P50085",54,19,NA,NA
"Q03103",49,5,NA,NA
"Q04235",13,1,NA,NA
"P34246",8,6,NA,NA
"Q02754",12,7,NA,NA
"Q12348",9,0,NA,NA
"Q04178",57,23,NA,NA
"P16892",33,1,NA,NA
"P36047",78,14,NA,NA
"P36160",30,8,NA,NA
"P41056",17,3,NA,NA
"P05744",17,3,NA,NA
"P50264",37,13,NA,NA
"Q02630",27,10,NA,NA
"P20436",21,14,NA,NA
"P16664",31,22,NA,NA
"P14907",73,8,NA,NA
"P32898",23,4,NA,NA
"P19263",46,6,NA,NA
"Q04430",13,0,NA,NA
"P32639",23,0,NA,NA
"Q04062",59,0,NA,NA
"P52490",26,6,NA,NA
"Q05515",87,54,NA,NA
"P46681",32,9,NA,NA
"P23638",92,34,NA,NA
"P11938",60,1,NA,NA
"P47039",20,5,NA,NA
"P53183",40,3,NA,NA
"P40164",12,0,NA,NA
"Q12697",27,10,NA,NA
"P38747",19,0,NA,NA
"P50278",19,3,NA,NA
"P37262",36,9,NA,NA
"P53973",20,6,NA,NA
"P36151",13,8,NA,NA
"P54000",23,7,NA,NA
"P40087",71,0,NA,NA
"P43123",58,5,NA,NA
"P35176",60,22,NA,NA
"P06787",70,3,NA,NA
"P32476",127,23,NA,NA
"P06100",15,0,NA,NA
"P32352",29,0,NA,NA
"Q12746",48,11,NA,NA
"P53839",37,9,NA,NA
"P40008",27,9,NA,NA
"P40066",15,9,NA,NA
"P53137",11,0,NA,NA
"P35732",45,0,NA,NA
"P07274",43,13,NA,NA
"P53039",29,0,NA,NA
"P25303",15,8,NA,NA
"P32771",38,7,NA,NA
"P47133",10,0,NA,NA
"P25847",78,20,NA,NA
"Q03102",36,13,NA,NA
"P53893",35,5,NA,NA
"Q04013",82,0,NA,NA
"P38986",66,23,NA,NA
"P22213",37,12,NA,NA
"Q08144",10,0,NA,NA
"P52489",10,4,NA,NA
"P38779",32,7,NA,NA
"P38203",13,8,NA,NA
"P38853",25,9,NA,NA
"P21734",27,5,NA,NA
"P23287",14,0,NA,NA
"Q05905",42,27,NA,NA
"P46680",120,60,NA,NA
"P32472",34,17,NA,NA
"Q06449",15,0,NA,NA
"Q03782",9,7,NA,NA
"P32598",74,9,NA,NA
"P32319",30,16,NA,NA
"P32178",48,0,NA,NA
"P14020",96,30,NA,NA
"P36008",150,16,NA,NA
"P42937",10,0,NA,NA
"P38692",42,0,NA,NA
"P43582",38,0,NA,NA
"P39011",17,0,NA,NA
"Q06179",12,0,NA,NA
"P53008",30,8,NA,NA
"Q03761",12,0,NA,NA
"P38427",71,14,NA,NA
"P11353",84,16,NA,NA
"Q08193",43,9,NA,NA
"P21524",100,17,NA,NA
"P04076",61,0,NA,NA
"P38337",13,0,NA,NA
"P47047",114,3,NA,NA
"Q12199",15,5,NA,NA
"P32466",73,0,NA,NA
"P38065",38,10,NA,NA
"Q04409",71,21,NA,NA
"Q12522",31,4,NA,NA
"P53169",8,0,NA,NA
"P53163",32,0,NA,NA
"Q03264",27,9,NA,NA
"P31334",32,17,NA,NA
"Q02793",40,18,NA,NA
"P46683",20,0,NA,NA
"P06777",48,14,NA,NA
"P50861",70,13,NA,NA
"P40159",99,0,NA,NA
"P17883",47,0,NA,NA
"Q04600",32,5,NA,NA
"P35184",33,16,NA,NA
"P38698",23,19,NA,NA
"P36120",25,4,NA,NA
"P53691",155,27,NA,NA
"P32793",19,7,NA,NA
