"Proteins","Start.position","End.position","Intensity","Intensity.ST168.THF.A","Intensity.ST168.THF.O","Intensity.ST169.DMSO.A","Intensity.ST169.DMSO.O","Intensity.ST170.But.A","Intensity.ST170.But.O","Reverse","Potential.contaminant"
"P38288",412,421,38166000,0,1178400,36988000,0,0,0,"",""
"P20051",245,267,321990000,144410000,0,81335000,0,96243000,0,"",""
"P38998",2,9,78047000,0,10012000,0,0,20037000,47998000,"",""
"Q99385",26,36,6122600,6122600,0,0,0,0,0,"",""
"Q12068",175,188,9924900,0,0,9924900,0,0,0,"",""
"P07259",599,615,205960000,0,0,0,0,200500000,5466000,"",""
"P07259",599,635,459320000,156750000,0,71412000,72299000,158860000,0,"",""
"P14843",77,84,53167000,0,0,27523000,0,25643000,0,"",""
"Q12230",197,207,291810000,81225000,3105700,131980000,0,75504000,0,"",""
"P39685",1048,1065,13396000,0,0,0,0,13396000,0,"",""
"P33297",234,245,119280000,0,0,76397000,0,42881000,0,"",""
"P07245",10,16,250490000,91234000,2457800,84572000,0,72223000,0,"",""
"P00549",120,131,3535200000,593480000,14663000,1.236e+09,0,1673200000,17851000,"",""
"P53738",15,31,86158000,23906000,694180,31307000,0,29570000,681760,"",""
"P33734",457,489,21388000,21388000,0,0,0,0,0,"",""
"P39985",406,414,1077200,1077200,0,0,0,0,0,"",""
"Q03771",68,82,0,0,0,0,0,0,0,"",""
"P30822",647,656,33021000,0,0,33021000,0,0,0,"",""
"P39990",90,111,1522400000,541920000,5472900,489960000,4884100,468720000,11417000,"",""
"Q04228",417,430,11726000,0,0,0,0,11726000,0,"",""
"P33299",303,318,169720000,0,87468000,41834000,0,40420000,0,"",""
"P33338",30,42,0,0,0,0,0,0,0,"",""
"P25349",128,146,670420000,90312000,28422000,7883100,406960000,11333000,125510000,"",""
"P40010",310,324,144200000,48884000,1556300,47314000,0,46442000,0,"",""
"Q05022",1540,1552,13479000,0,0,0,0,13479000,0,"",""
"Q12074",218,248,274840000,108840000,0,23662000,0,142340000,0,"",""
"P39077",376,382,33861000,0,0,33861000,0,0,0,"",""
"P32377",194,203,9142200,0,0,0,0,8059700,1082500,"",""
"P32377",194,204,61676000,15918000,0,29912000,0,15846000,0,"",""
"P06634",256,270,781650000,240710000,6167800,281580000,4026400,238850000,10310000,"",""
"P27809",123,130,39554000,0,0,39554000,0,0,0,"",""
"P39935",468,479,97289000,0,0,51935000,0,43719000,1635300,"",""
"P32074",649,670,279960000,124470000,0,139020000,0,9236100,7224600,"",""
"P27809",97,104,25811000,0,1449300,0,0,22079000,2283200,"",""
"Q12220",724,740,0,0,0,0,0,0,0,"",""
"P38885",70,86,5420400,5420400,0,0,0,0,0,"",""
"Q03862",181,206,251660000,0,145890000,0,65329000,0,40443000,"",""
"Q03862",181,224,295870000,0,1363700,0,0,0,294500000,"",""
"P38011",162,176,2301800000,643390000,31166000,868390000,681560,719360000,38810000,"",""
"Q03280",2413,2443,3389100,3389100,0,0,0,0,0,"",""
"P14164",713,729,0,0,0,0,0,0,0,"",""
"Q04636",291,307,743630000,85881000,0,3588100,473770000,29309000,151090000,"",""
"Q92331",87,105,6905500,6905500,0,0,0,0,0,"",""
"Q04602",175,191,26018000,6351700,0,11418000,0,8247600,0,"",""
"Q08972",492,509,45198000,0,0,0,0,45198000,0,"",""
"P40032",581,604,21648000,0,0,21648000,0,0,0,"",""
"Q08972",564,584,2933500,0,0,2933500,0,0,0,"",""
"P32471",59,97,321100000,87559000,0,146080000,0,87469000,0,"",""
"P32471",59,99,175890000,50797000,10064000,57705000,0,57326000,0,"",""
"P38623",344,362,217390000,64814000,0,70266000,0,74601000,7710900,"",""
"P32454",470,484,234100000,0,0,138220000,0,95879000,0,"",""
"P38174",32,41,45122000,9335600,0,15040000,0,20056000,689370,"",""
"P41921",463,483,0,0,0,0,0,0,0,"",""
"P38934",233,240,449020000,100560000,4941000,209040000,0,128450000,6029600,"",""
"P38768",2,10,228270000,0,90873000,0,51500000,0,85899000,"",""
"P14906",433,454,227990000,83428000,4501500,59903000,18825000,61334000,0,"",""
"Q10740",125,132,26560000,0,0,26560000,0,0,0,"",""
"P22146",223,236,179010000,57670000,2623700,75392000,0,43322000,0,"",""
"P53334",370,378,128260000,56667000,0,42485000,0,29112000,0,"",""
"P32499",73,92,58565000,26122000,994220,20807000,0,10642000,0,"",""
"Q12680",1101,1117,25284000,0,0,9578500,0,15706000,0,"",""
"P38088",133,144,773350000,335850000,3246300,195670000,42927000,193160000,2493600,"",""
"P25369",40,56,16130000,1846100,0,12621000,0,1663100,0,"",""
"P17967",221,231,278430000,86633000,4629600,78751000,0,108420000,0,"",""
"P12695",206,214,407490000,119250000,0,187190000,0,101050000,0,"",""
"Q04636",232,254,25052000,0,0,14007000,0,11044000,0,"",""
"Q08972",706,724,884840000,167180000,0,175250000,102370000,408270000,31769000,"",""
"P40991",178,201,67677000,19753000,0,31741000,0,16183000,0,"",""
"P42945",922,930,34258000,0,1359600,11125000,0,15874000,5898700,"",""
"P41807",448,460,512400000,90297000,0,173870000,10199000,238030000,0,"",""
"P04147",2,22,976420000,64350000,32410000,379260000,0,487120000,13282000,"",""
"P21147",238,250,11024000,0,0,0,0,11024000,0,"",""
"P25349",33,49,373430000,114370000,2326600,133430000,7389400,106810000,9112000,"",""
"P39533",328,367,35881000,35881000,0,0,0,0,0,"",""
"P32521",636,655,6686900,0,0,0,0,6686900,0,"",""
"P38817",251,279,33060000,16774000,0,16286000,0,0,0,"",""
"P32324",376,384,4811600000,1523400000,40632000,1811600000,28911000,1292900000,114260000,"",""
"P48164",36,44,564480000,237470000,1893200,0,0,322090000,3026500,"",""
"P38996",296,309,0,0,0,0,0,0,0,"",""
"P34167",158,165,412430000,93770000,0,147040000,0,135770000,35853000,"",""
"P26637",512,533,395610000,112340000,5118100,199010000,0,79135000,0,"",""
"P38009",461,467,345300000,148740000,7930400,107860000,0,80769000,0,"",""
"P26321",249,258,2736200000,963040000,19104000,985780000,545850,729070000,38703000,"",""
"P26321",249,259,64886000,28533000,0,0,0,36353000,0,"",""
"Q02792",217,249,139930000,0,0,0,139930000,0,0,"",""
"Q01939",130,141,202990000,0,38607000,0,104960000,18984000,40434000,"",""
"Q01939",130,158,13781000,0,0,13781000,0,0,0,"",""
"Q03655",134,147,204910000,97351000,3523600,100730000,0,0,3300400,"",""
"P20434",181,191,759300000,78315000,185510000,0,252280000,0,243200000,"",""
"Q01519",2,17,997250,0,0,0,997250,0,0,"",""
"P22203",39,47,589700000,206740000,5600700,223540000,295790,146730000,6787600,"",""
"P30822",51,64,56136000,53259000,2876400,0,0,0,0,"",""
"P0CS90",562,574,134790000,72021000,2816000,0,0,57172000,2777900,"",""
"P0CS90",562,579,1.324e+09,361060000,10361000,533920000,853410,401550000,16246000,"",""
"P0CS90",562,582,153140000,61560000,0,38924000,0,52660000,0,"",""
"Q08229",51,62,4299200,0,0,4299200,0,0,0,"",""
"P00950",72,81,160890000,84600000,0,76285000,0,0,0,"",""
"Q99287",2,31,214120000,0,17199000,0,0,0,196920000,"",""
"Q06385",12,28,4543200,0,0,0,0,4543200,0,"",""
"Q06385",12,31,2066300,2066300,0,0,0,0,0,"",""
"P38144",665,684,2950700,0,0,2950700,0,0,0,"",""
"P53622",1129,1146,4886400,4886400,0,0,0,0,0,"",""
"P54867",38,56,4598800,4598800,0,0,0,0,0,"",""
"P11075",949,972,161040000,0,0,0,0,0,161040000,"",""
"Q02199",296,310,8592500,0,0,0,0,8592500,0,"",""
"P39993",254,276,15316000,0,0,7787500,0,7528900,0,"",""
"P33298",321,333,57327000,33521000,0,16328000,7478600,0,0,"",""
"P32468",181,193,181630000,51107000,2717100,64734000,0,63076000,0,"",""
"P39109",771,789,406380000,124510000,0,139770000,40933000,101170000,0,"",""
"Q00955",141,162,471330000,181870000,0,268790000,0,20675000,0,"",""
"P00942",224,247,1.4489e+10,4466200000,643580000,2182800000,2989800000,1250700000,2955800000,"",""
"P00942",224,248,1165700000,308430000,0,217080000,640200000,0,0,"",""
"P49095",502,509,66700000,40684000,0,0,0,26016000,0,"",""
"P20459",186,206,225800000,3951900,0,122970000,0,98882000,0,"",""
"P32327",1096,1116,1714800,0,0,0,1714800,0,0,"",""
"P08524",337,346,1620100000,499720000,46400000,560830000,106870000,406240000,0,"",""
"P39015",35,46,22085000,11846000,0,0,0,10239000,0,"",""
"Q04371",424,437,164670000,0,3063200,71575000,0,82445000,7589400,"",""
"P39993",491,499,6335800,6335800,0,0,0,0,0,"",""
"P49090",511,521,446970000,146630000,4284900,170780000,0,118810000,6470000,"",""
"P15992",177,190,1057100000,308550000,9058100,317050000,0,422450000,0,"",""
"P40040",2,13,7336200,0,0,7336200,0,0,0,"",""
"P22336",606,617,26355000,0,0,26355000,0,0,0,"",""
"P15705",385,400,12764000,12764000,0,0,0,0,0,"",""
"P33204",99,106,68150000,55504000,0,0,0,0,12646000,"",""
"P48836",72,84,69481000,0,0,69481000,0,0,0,"",""
"P48836",72,85,238810000,172560000,0,0,0,66245000,0,"",""
"P04051",529,538,13055000,13055000,0,0,0,0,0,"",""
"P07991",261,272,10471000,0,963470,0,9508000,0,0,"",""
"P26785",37,48,6782600000,1883100000,131370000,1956500000,356090000,2256500000,199100000,"",""
"P10964",645,667,133260000,35474000,1269700,63539000,0,31736000,1243900,"",""
"P15891",334,353,103770000,28306000,3378100,28167000,0,25315000,18609000,"",""
"P15891",334,356,97251000,13182000,0,49805000,0,34263000,0,"",""
"P09938",103,117,36266000,32328000,3937800,0,0,0,0,"",""
"P09938",103,125,74683000,33387000,0,41295000,0,0,0,"",""
"P05755",181,195,2276100,0,0,2276100,0,0,0,"",""
"P32288",2,8,966490000,665340000,0,301150000,0,0,0,"",""
"P14682",278,290,12082000,0,0,4852300,0,6934000,295610,"",""
"P32377",172,193,96527000,0,0,55918000,0,40609000,0,"",""
"P22137",1137,1155,71053000,22356000,1211100,22036000,0,25451000,0,"",""
"P50086",211,221,12723000,12723000,0,0,0,0,0,"",""
"P50086",211,222,24918000,12994000,0,0,0,11924000,0,"",""
"Q08961",379,388,3210200,0,0,0,0,3210200,0,"",""
"P09624",357,369,301410000,99759000,889970,117540000,0,81400000,1825800,"",""
"P00815",348,363,188680000,70525000,0,110230000,0,7917700,0,"",""
"Q06385",284,312,10081000,0,10081000,0,0,0,0,"",""
"P26784",38,49,1969800000,529270000,26492000,546660000,58751000,808650000,0,"",""
"P39936",520,538,20263000,0,0,12273000,0,7989600,0,"",""
"P07285",357,368,3961200,2479100,0,1482100,0,0,0,"",""
"Q12434",2,21,52087000,17591000,0,29125000,0,5371100,0,"",""
"P10592",569,592,69286000,0,0,63472000,0,4470700,1343900,"",""
"P10592",569,604,1.0765e+10,1477100000,0,1504400000,4859900000,2923600000,0,"",""
"P10591",569,590,7194000,7194000,0,0,0,0,0,"",""
"P10591",569,592,407860000,196080000,0,106090000,0,105680000,0,"",""
"P32583",295,317,5976000,2167200,0,3808900,0,0,0,"",""
"P32589",608,621,2308900000,812680000,31112000,778600000,13515000,637200000,35764000,"",""
"P24276",1103,1110,16681000,0,0,6495700,0,10185000,0,"",""
"Q10740",447,454,93146000,0,14760000,0,32649000,0,45737000,"",""
"P36775",1121,1129,10133000,0,0,10133000,0,0,0,"",""
"P33892",963,996,145030000,0,145030000,0,0,0,0,"",""
"P12709",456,467,297140000,106960000,2638200,78568000,0,103750000,5215900,"",""
"P40961",216,228,81484000,43179000,0,0,0,36122000,2183100,"",""
"P04076",149,165,65346000,0,0,35605000,0,29742000,0,"",""
"P24783",130,151,203110000,0,2599800,122500000,0,78010000,0,"",""
"P48813",87,109,8606300,0,0,4839500,0,3766800,0,"",""
"P00890",120,147,165440000,0,0,1621000,73955000,0,89868000,"",""
"P00899",342,352,72312000,28331000,0,26539000,0,17442000,0,"",""
"P06634",102,135,195370000,0,0,106150000,0,89216000,0,"",""
"P53598",244,253,297310000,89573000,3954900,113410000,0,84150000,6217000,"",""
"P06738",724,751,90816000,28380000,1031000,31100000,0,30305000,0,"",""
"P15565",50,56,47878000,25614000,0,16327000,0,0,5937400,"",""
"Q06678",108,124,17398000,0,0,17398000,0,0,0,"",""
"P15624",252,265,1919400000,0,713870000,48102000,411750000,5220500,740470000,"",""
"P38861",442,460,206920000,94186000,0,87825000,0,24907000,0,"",""
"P32563",2,10,677330000,262400000,7437300,238290000,12939000,145450000,10811000,"",""
"P38788",323,344,8270400000,114280000,3034800000,36264000,2686300000,49680000,2.349e+09,"",""
"Q06217",16,27,13620000,0,0,13620000,0,0,0,"",""
"P39104",468,475,33900000,6104200,0,8755300,4144900,8523100,6372200,"",""
"P40055",146,171,14283000,0,948110,13334000,0,0,0,"",""
"P43597",880,889,10309000,0,0,10309000,0,0,0,"",""
"P38902",48,55,14773000,0,0,14773000,0,0,0,"",""
"P39719",86,94,4518000,0,0,4518000,0,0,0,"",""
"Q01454",905,912,9383200,5066600,0,0,0,4316600,0,"",""
"P26786",36,44,1711400000,563540000,8593700,834390000,4869800,290560000,9437900,"",""
"P06634",2,27,254920000,72073000,10230000,54107000,57552000,60958000,0,"",""
"P32864",422,439,81087000,0,0,0,81087000,0,0,"",""
"Q05775",88,112,383160000,71849000,0,97273000,101060000,112970000,0,"",""
"P48231",659,670,3776500,0,0,0,0,3776500,0,"",""
"Q12068",37,49,77869000,0,940810,37647000,0,37422000,1859000,"",""
"P18899",32,45,17459000,0,0,17459000,0,0,0,"",""
"P38825",2,8,6400100,0,0,0,0,0,6400100,"",""
"P07342",81,104,83745000,0,0,23883000,0,59862000,0,"",""
"P29952",396,423,418830000,0,290090000,0,128740000,0,0,"",""
"P32324",590,609,2.4739e+10,2.944e+09,2.646e+09,2020600000,1.1335e+10,1898800000,3894600000,"",""
"P00724",351,365,14134000,0,0,0,0,14134000,0,"",""
"Q06494",26,40,30330000,0,0,30330000,0,0,0,"",""
"P25694",741,755,68698000,18071000,0,28627000,0,21999000,0,"",""
"P38687",15,27,71557000,35894000,0,33206000,0,0,2457100,"",""
"P27616",165,189,1.475e+09,480660000,14886000,451610000,8367300,474860000,44628000,"",""
"P27616",165,190,274480000,93198000,0,99211000,0,82076000,0,"",""
"P32324",353,370,6122500000,1870100000,55708000,2106600000,5316900,2019900000,64963000,"",""
"P21576",522,536,660340000,314330000,0,234720000,0,111290000,0,"",""
"P40185",69,77,1148400000,307560000,18098000,334150000,1348500,468710000,18579000,"",""
"P40037",53,61,24862000,0,0,0,0,24862000,0,"",""
"P32599",349,358,332170000,80869000,4137500,123580000,0,118920000,4658500,"",""
"P53108",58,86,22512000,0,0,14540000,0,7972300,0,"",""
"P06738",331,348,92541000,24789000,0,25893000,0,41859000,0,"",""
"P47054",1254,1268,19817000,11363000,0,0,0,8454600,0,"",""
"Q06488",164,177,1366700,0,0,0,0,1366700,0,"",""
"P27692",55,69,14209000,0,583930,13625000,0,0,0,"",""
"Q08245",8,18,2620900000,1281600000,19831000,590440000,0,691880000,37119000,"",""
"Q08245",8,23,762320000,284860000,0,222710000,0,254750000,0,"",""
"Q08245",8,29,118990000,37456000,0,36029000,0,45501000,0,"",""
"Q08179",476,505,3026800,0,0,3026800,0,0,0,"",""
"P15303",540,550,43413000,0,2800300,0,0,40613000,0,"",""
"Q00955",339,347,51391000,0,0,32270000,0,19121000,0,"",""
"P32419",153,164,756170000,63846000,357810000,0,192530000,0,141990000,"",""
"P38998",10,18,5845100,5845100,0,0,0,0,0,"",""
"P39683",164,173,11604000,0,0,0,0,11604000,0,"",""
"P35724",468,480,10595000,0,0,0,0,10595000,0,"",""
"P16861",977,987,857710000,379220000,8809900,221420000,1328300,234290000,12633000,"",""
"P39533",310,322,53571000,0,0,38014000,0,14646000,910490,"",""
"Q02785",1129,1136,5133700,0,0,0,0,5133700,0,"",""
"Q08225",520,532,31193000,7211400,0,3434500,20547000,0,0,"",""
"P00549",313,337,8740100000,4746800000,318040000,415200000,223490000,2746400000,290210000,"",""
"P52489",315,339,49946000,0,0,37674000,0,12272000,0,"",""
"P22803",68,80,2603300000,770400000,48880000,1155600000,0,609160000,19246000,"",""
"P08566",259,267,14297000,0,855340,13442000,0,0,0,"",""
"P49089",512,522,376650000,117400000,0,102580000,0,153040000,3637700,"",""
