"id","numberofAA"
"sp|P25371|ADP1_YEAST",1049
"sp|P08019|AMYG_YEAST",549
"sp|Q12048|ATG41_YEAST",136
"sp|Q08965|BMS1_YEAST",1183
"sp|P47040|BTN1_YEAST",408
"sp|Q07457|BRE1_YEAST",700
"sp|P33306|BCK2_YEAST",851
"sp|P53841|BSC4_YEAST",131
"sp|P32504|CBF3A_YEAST",956
"sp|P19073|CDC42_YEAST",191
"sp|P24869|CG22_YEAST",491
"sp|Q06702|CDA1_YEAST",301
"sp|Q99299|AIM44_YEAST",758
"sp|P47182|AAD10_YEAST",288
"sp|Q08361|AAD15_YEAST",143
"sp|P50275|ASE1_YEAST",885
"sp|Q06159|ATG39_YEAST",398
"sp|P17555|CAP_YEAST",526
"sp|P13517|CAPZB_YEAST",287
"sp|P32323|AGA1_YEAST",725
"sp|Q02804|ARL3_YEAST",198
"sp|P40351|ALG8_YEAST",577
"sp|P40024|ARB1_YEAST",610
"sp|P21306|ATP5E_YEAST",62
"sp|P38346|BIT2_YEAST",545
"sp|Q08754|BUD7_YEAST",746
"sp|P39713|BDH2_YEAST",417
"sp|P38041|BOB1_YEAST",980
"sp|P39969|BOI2_YEAST",1040
"sp|P39724|BOL3_YEAST",118
"sp|Q12128|BAG7_YEAST",409
"sp|Q01389|BCK1_YEAST",1478
"sp|P38720|6PGD1_YEAST",489
"sp|P31383|2AAA_YEAST",635
"sp|P38113|ADH5_YEAST",351
"sp|P40353|ATF1_YEAST",525
"sp|P40518|ARPC5_YEAST",154
"sp|P15703|BGL2_YEAST",313
"sp|P25627|BUD23_YEAST",275
"sp|P38822|BZZ1_YEAST",633
"sp|P25385|BOS1_YEAST",244
"sp|P15202|CATA_YEAST",515
"sp|P38042|CDC27_YEAST",758
"sp|Q08032|CDC45_YEAST",650
"sp|P47112|CDT1_YEAST",604
"sp|P14180|CHS2_YEAST",963
"sp|P36012|CENPA_YEAST",229
"sp|P38265|CENPL_YEAST",245
"sp|P24871|CG24_YEAST",460
"sp|P43549|AQY3_YEAST",646
"sp|P81449|ATPJ_YEAST",96
"sp|P39981|AVT2_YEAST",480
"sp|P38995|ATU2_YEAST",1004
"sp|P32451|BIOB_YEAST",375
"sp|Q08235|BRX1_YEAST",291
"sp|P09798|CDC16_YEAST",840
"sp|O13547|CCW14_YEAST",238
"sp|P13365|CG13_YEAST",580
"sp|P07246|ADH3_YEAST",375
"sp|P53068|APC10_YEAST",250
"sp|P33204|ARPC4_YEAST",171
"sp|Q12674|ATC8_YEAST",1656
"sp|Q12500|AVL9_YEAST",764
"sp|Q12349|ATP14_YEAST",124
"sp|P38278|BMT2_YEAST",337
"sp|P41832|BNI1_YEAST",1953
"sp|Q3E793|BOL1_YEAST",110
"sp|Q06150|BOP2_YEAST",570
"sp|Q07660|BRE4_YEAST",1125
"sp|P25656|CDC50_YEAST",391
"sp|P32457|CDC3_YEAST",520
"sp|Q00955|ACAC_YEAST",2233
"sp|P53730|ALG12_YEAST",551
"sp|P53178|ALG13_YEAST",202
"sp|P04076|ARLY_YEAST",463
"sp|P38110|ATM_YEAST",2787
"sp|P32453|ATP11_YEAST",318
"sp|Q06631|BFR2_YEAST",534
"sp|P53727|BUD17_YEAST",317
"sp|P40013|BIM1_YEAST",344
"sp|P53226|BUD9_YEAST",547
"sp|Q08280|BSC6_YEAST",497
"sp|P48558|BXI1_YEAST",297
"sp|P06787|CALM_YEAST",147
"sp|Q12239|TM115_YEAST",342
"sp|P33891|TIP20_YEAST",701
"sp|P33315|TKT2_YEAST",681
"sp|P23254|TKT1_YEAST",680
"sp|P31688|TPS2_YEAST",896
"sp|P53099|TPN1_YEAST",579
"sp|P35127|UBL1_YEAST",236
"sp|Q08438|VHS3_YEAST",674
"sp|P40157|VID27_YEAST",782
"sp|Q05946|UTP13_YEAST",817
"sp|Q02792|XRN2_YEAST",1006
"sp|Q07379|YD057_YEAST",328
"sp|P87280|YD290_YEAST",109
"sp|Q05016|YM71_YEAST",267
"sp|P39991|YEC5_YEAST",1188
"sp|P32793|YSC84_YEAST",468
"sp|P53107|YRB30_YEAST",440
"sp|P32580|SUV3_YEAST",737
"sp|P35200|UPS2_YEAST",230
"sp|P54787|VPS9_YEAST",451
"sp|P34110|VPS35_YEAST",944
"sp|P0C5M5|YDL14_YEAST",37
"sp|P39999|YEB4_YEAST",101
"sp|P53061|ZIP2_YEAST",704
"sp|Q2V2P1|YL146_YEAST",62
"sp|P38833|YHS7_YEAST",243
"sp|P43551|ZNF1_YEAST",465
"sp|P40167|SLZ1_YEAST",298
"sp|P33202|UFD4_YEAST",1483
"sp|Q12059|ULA1_YEAST",462
"sp|Q12132|USV1_YEAST",391
"sp|Q92331|VPS5_YEAST",675
"sp|P36017|VPS21_YEAST",210
"sp|Q12472|YD21B_YEAST",1770
"sp|O13571|YPR46_YEAST",109
"sp|P25044|PTP1_YEAST",335
"sp|Q12270|RBD2_YEAST",262
"sp|P42073|REF2_YEAST",533
"sp|P38339|RGD1_YEAST",666
"sp|P38145|RISA_YEAST",238
"sp|P50861|RIB4_YEAST",169
"sp|P29539|RIF1_YEAST",1916
"sp|Q12690|RL13A_YEAST",199
"sp|Q12672|RL21B_YEAST",160
"sp|P14126|RL3_YEAST",387
"sp|P0CH08|RL40A_YEAST",128
"sp|Q12250|RPN5_YEAST",445
"sp|P50106|RPA14_YEAST",137
"sp|P23250|RPI1_YEAST",407
"sp|P26783|RS5_YEAST",225
"sp|P53732|RT12_YEAST",153
"sp|Q08281|RTC1_YEAST",1341
"sp|P32605|RU1A_YEAST",298
"sp|P53266|SHY1_YEAST",389
"sp|P22224|SEC15_YEAST",910
"sp|P51534|SHE4_YEAST",789
"sp|P40479|SDP1_YEAST",209
"sp|P53438|SOK2_YEAST",785
"sp|P53955|SLM2_YEAST",656
"sp|Q04174|SMP3_YEAST",516
"sp|Q12216|SIZ2_YEAST",726
"sp|Q03954|SPC19_YEAST",165
"sp|P53207|SNU71_YEAST",620
"sp|P34226|SKT5_YEAST",696
"sp|P07236|SYTM_YEAST",462
"sp|P38340|NTM1_YEAST",232
"sp|P07991|OAT_YEAST",424
"sp|Q99220|OS9_YEAST",542
"sp|Q99380|OST4_YEAST",36
"sp|Q04734|PALI_YEAST",239
"sp|Q12511|PDP1_YEAST",572
"sp|Q02969|PEX25_YEAST",394
"sp|P50091|PEX21_YEAST",288
"sp|P06738|PHSG_YEAST",902
"sp|P19657|PMA2_YEAST",947
"sp|Q99216|PNO1_YEAST",274
"sp|P41909|PXA1_YEAST",870
"sp|P31244|RAD16_YEAST",790
"sp|P01119|RAS1_YEAST",309
"sp|P32864|RAEP_YEAST",603
"sp|P38206|RFT1_YEAST",574
"sp|P06780|RHO1_YEAST",209
"sp|P21672|RIR3_YEAST",869
"sp|P53893|RIA1_YEAST",1110
"sp|P38066|RIB1_YEAST",345
"sp|P26321|RL5_YEAST",297
"sp|P22353|RM08_YEAST",238
"sp|P02381|RMAR_YEAST",398
"sp|P36517|RM04_YEAST",319
"sp|P38902|RPB11_YEAST",120
"sp|Q02933|RNY1_YEAST",434
"sp|P40011|RRAAH_YEAST",234
"sp|P38771|RRF1_YEAST",230
"sp|P25632|RSC6_YEAST",483
"sp|P34758|SCD5_YEAST",872
"sp|P53304|SLI1_YEAST",468
"sp|P38858|SOL3_YEAST",249
"sp|P25380|SPS22_YEAST",463
"sp|P40210|SIP5_YEAST",489
"sp|Q04359|SPO20_YEAST",397
"sp|P40511|SPO22_YEAST",975
"sp|P06843|SPT2_YEAST",333
"sp|Q12286|SUT2_YEAST",268
"sp|Q07351|STP4_YEAST",490
"sp|P40454|PTPA1_YEAST",393
"sp|Q9ZZX8|Q0017_YEAST",53
"sp|Q9ZZX7|Q0032_YEAST",96
"sp|P11938|RAP1_YEAST",827
"sp|P48743|RFX1_YEAST",811
"sp|Q00453|RGM1_YEAST",211
"sp|P25378|RHEB_YEAST",209
"sp|P32338|RME1_YEAST",300
"sp|Q06103|RPN7_YEAST",429
"sp|P04051|RPC1_YEAST",1460
"sp|P51862|ROM2_YEAST",1356
"sp|P0CX56|RS18B_YEAST",146
"sp|P10662|RT01_YEAST",321
"sp|P46654|RSSA2_YEAST",252
"sp|P38814|SBE22_YEAST",852
"sp|P40510|SER33_YEAST",469
"sp|P42948|SET4_YEAST",560
"sp|Q08446|SGT1_YEAST",395
"sp|Q08817|SOG2_YEAST",791
"sp|P00447|SODM_YEAST",233
"sp|P46965|SPC1_YEAST",94
"sp|P52286|SKP1_YEAST",194
"sp|P53135|SLD3_YEAST",668
"sp|P06701|SIR3_YEAST",978
"sp|P33300|SUR1_YEAST",382
"sp|P25604|STP22_YEAST",385
"sp|Q12427|STB3_YEAST",513
"sp|P33894|STE13_YEAST",931
"sp|P53177|TYW3_YEAST",273
"sp|Q06991|PUN1_YEAST",263
"sp|P06777|RAD1_YEAST",1100
"sp|Q12021|RAD28_YEAST",506
"sp|Q05672|RBS1_YEAST",457
"sp|P40043|RGI1_YEAST",161
"sp|P33312|RIB7_YEAST",244
"sp|P05743|RL26A_YEAST",127
"sp|P29453|RL8B_YEAST",256
"sp|Q12224|RLM1_YEAST",676
"sp|O13516|RS9A_YEAST",197
"sp|P42847|RT18_YEAST",217
"sp|P20840|SAG1_YEAST",650
"sp|Q06245|SEC10_YEAST",871
"sp|P40357|SEC9_YEAST",651
"sp|Q12529|SET6_YEAST",373
"sp|P24280|SEC14_YEAST",304
"sp|Q06132|SGD1_YEAST",899
"sp|Q07953|SDO1_YEAST",250
"sp|P56508|SNA2_YEAST",79
"sp|Q08457|SLD7_YEAST",257
"sp|Q06217|SMD2_YEAST",110
"sp|Q02260|SMD1_YEAST",146
"sp|P53032|SUT1_YEAST",299
"sp|P53598|SUCA_YEAST",329
"sp|P43554|SWP82_YEAST",623
"sp|Q04048|SYF1_YEAST",859
"sp|Q03640|TCB3_YEAST",1545
"sp|P42938|TDA10_YEAST",290
"sp|P23255|TAF2_YEAST",1407
"sp|Q12069|PUS9_YEAST",462
"sp|Q12211|PUS1_YEAST",544
"sp|P32901|PTR2_YEAST",601
"sp|P38876|PTH_YEAST",190
"sp|P38953|RAD55_YEAST",406
"sp|A0A0B7P221|RDT1_YEAST",28
"sp|Q03446|RCR2_YEAST",210
"sp|Q06709|REH1_YEAST",432
"sp|Q12090|REXO3_YEAST",404
"sp|P25560|RER1_YEAST",188
"sp|P23796|RIT1_YEAST",513
"sp|P51998|RL4P_YEAST",286
"sp|P20435|RPAB2_YEAST",155
"sp|P40470|RRT14_YEAST",206
"sp|Q08417|RSB1_YEAST",382
"sp|Q02608|RT16_YEAST",121
"sp|P50278|SOL1_YEAST",321
"sp|P10870|SNF3_YEAST",884
"sp|P40485|SLM1_YEAST",686
"sp|Q12483|SNF8_YEAST",233
"sp|P50263|SIP18_YEAST",79
"sp|P46954|SIP4_YEAST",829
"sp|P39932|STL1_YEAST",569
"sp|Q05937|STP3_YEAST",343
"sp|P38705|SYSM_YEAST",446
"sp|P48231|TCB2_YEAST",1178
"sp|P40413|TCPE_YEAST",562
"sp|P18412|TEC1_YEAST",486
"sp|P36029|TPO5_YEAST",618
"sp|P38205|NCL1_YEAST",684
"sp|P20676|NUP1_YEAST",1076
"sp|Q02890|PNG1_YEAST",363
"sp|P05375|PLMT_YEAST",206
"sp|Q12459|PRM7_YEAST",698
"sp|P32522|PT309_YEAST",965
"sp|Q04373|PUF6_YEAST",656
"sp|Q12221|PUF2_YEAST",1075
"sp|P39994|PXP1_YEAST",560
"sp|P10862|RAD18_YEAST",487
"sp|P32628|RAD23_YEAST",398
"sp|Q12044|RCN2_YEAST",265
"sp|P32849|RAD5_YEAST",1169
"sp|Q12362|RIB2_YEAST",591
"sp|Q02685|RMI1_YEAST",241
"sp|P53875|RM19_YEAST",158
"sp|P32910|RPC6_YEAST",317
"sp|Q04225|RRB1_YEAST",511
"sp|P0CX48|RS11B_YEAST",156
"sp|Q06488|RSC2_YEAST",889
"sp|P38344|REI1_YEAST",393
"sp|P39531|RCY1_YEAST",840
"sp|P53972|RCM1_YEAST",490
"sp|P38232|REG2_YEAST",338
"sp|P39729|RBG1_YEAST",369
"sp|P53879|RHO5_YEAST",331
"sp|P38127|RIM2_YEAST",377
"sp|Q03441|RMD1_YEAST",430
"sp|P32561|RPD3_YEAST",433
"sp|P25359|RRP43_YEAST",394
"sp|Q05942|RSA3_YEAST",220
"sp|Q05043|RSF1_YEAST",376
"sp|P26786|RS7A_YEAST",190
"sp|Q99314|SAS5_YEAST",248
"sp|Q12464|RUVB2_YEAST",471
"sp|P53064|RTF1_YEAST",558
"sp|P40486|SHQ1_YEAST",507
"sp|Q00416|SEN1_YEAST",2231
"sp|P39709|SEO1_YEAST",593
"sp|Q04491|SEC13_YEAST",297
"sp|P22214|SEC22_YEAST",214
"sp|P25365|SED4_YEAST",1065
"sp|Q05567|SGPL_YEAST",589
"sp|P32364|SMY1_YEAST",656
"sp|P35207|SKI2_YEAST",1287
"sp|P20048|SEC59_YEAST",519
"sp|Q3E752|SPO24_YEAST",67
"sp|P31376|SWC3_YEAST",625
"sp|Q04658|SMA2_YEAST",369
"sp|P38869|SVP26_YEAST",228
"sp|P13130|SS100_YEAST",326
"sp|P36145|T2EB_YEAST",328
"sp|Q12199|TIP41_YEAST",356
"sp|Q12513|TMA17_YEAST",150
"sp|Q02939|TFB2_YEAST",513
"sp|P21264|PUR6_YEAST",571
"sp|Q02772|PT191_YEAST",108
"sp|P28708|PRR1_YEAST",518
"sp|Q9ZZX9|Q0010_YEAST",128
"sp|Q03792|RIM13_YEAST",727
"sp|P05749|RL22A_YEAST",121
"sp|P04456|RL25_YEAST",142
"sp|P87262|RL34A_YEAST",121
"sp|P10664|RL4A_YEAST",362
"sp|P35718|RPC8_YEAST",212
"sp|Q06511|RRP15_YEAST",250
"sp|P23248|RS3A2_YEAST",255
"sp|P38990|SAK1_YEAST",1142
"sp|P35179|SC61G_YEAST",80
"sp|P33759|RT05_YEAST",307
"sp|P53172|SDS23_YEAST",527
"sp|P39707|SEN34_YEAST",275
"sp|P53012|SCS3_YEAST",380
"sp|P42933|SPG5_YEAST",373
"sp|P38324|SLX1_YEAST",304
"sp|Q12034|SLF1_YEAST",447
"sp|P25808|SPB4_YEAST",606
"sp|P53823|SNO2_YEAST",222
"sp|P43544|SNO3_YEAST",222
"sp|P07560|SEC4_YEAST",215
"sp|P37297|STT4_YEAST",1900
"sp|P25344|STE50_YEAST",346
"sp|P32613|TCA17_YEAST",152
"sp|Q03750|TAF8_YEAST",510
"sp|P38129|TAF5_YEAST",798
"sp|Q03525|TMA23_YEAST",211
"sp|Q04751|NAA40_YEAST",285
"sp|Q08920|NCBP2_YEAST",208
"sp|P36010|NDK_YEAST",153
"sp|Q08444|NOB1_YEAST",459
"sp|Q02629|NU100_YEAST",959
"sp|P35845|OSH1_YEAST",1188
"sp|Q06149|PDR8_YEAST",701
"sp|Q02785|PDR12_YEAST",1511
"sp|P52553|PFD6_YEAST",114
"sp|Q04430|PANK_YEAST",367
"sp|P11491|PPB_YEAST",566
"sp|P41903|PTE1_YEAST",349
"sp|P36159|RNZ_YEAST",838
"sp|Q05635|RNH2B_YEAST",350
"sp|P38192|RRT1_YEAST",103
"sp|P17065|SEC2_YEAST",759
"sp|P40073|SHO1_YEAST",367
"sp|Q07657|SHS1_YEAST",551
"sp|P53009|SCY1_YEAST",804
"sp|P34250|SEG2_YEAST",1132
"sp|Q04487|SHH3_YEAST",196
"sp|Q03707|SRC1_YEAST",834
"sp|P39543|SOP4_YEAST",234
"sp|P36057|SRPB_YEAST",244
"sp|P32342|SRP21_YEAST",167
"sp|P39706|SWD1_YEAST",426
"sp|P25613|ADY2_YEAST",283
"sp|P11076|ARF1_YEAST",181
"sp|P50277|BIOA_YEAST",480
"sp|P47176|BCA2_YEAST",376
"sp|P38772|BCD1_YEAST",366
"sp|P20437|CG11_YEAST",546
"sp|P24868|CG21_YEAST",471
"sp|Q03690|CLU_YEAST",1277
"sp|P35206|CSG2_YEAST",410
"sp|P19516|COX11_YEAST",300
"sp|Q03652|DML1_YEAST",475
"sp|Q05031|DFG5_YEAST",458
"sp|Q99288|DET1_YEAST",334
"sp|P21147|ACO1_YEAST",510
"sp|P13587|ATN1_YEAST",1091
"sp|P38934|BFR1_YEAST",470
"sp|P30902|ATP7_YEAST",174
"sp|P41733|CDC91_YEAST",394
"sp|P43634|CHA4_YEAST",648
"sp|Q06350|CHI2_YEAST",511
"sp|P15790|CSK21_YEAST",372
"sp|P53314|CPD1_YEAST",239
"sp|P32798|COT1_YEAST",439
"sp|P10614|CP51_YEAST",530
"sp|P41735|COQ7_YEAST",233
"sp|Q05779|COQ9_YEAST",260
"sp|P47015|AIM23_YEAST",356
"sp|P48360|ADRO_YEAST",493
"sp|Q03687|ANY1_YEAST",405
"sp|Q12359|ATO3_YEAST",275
"sp|P81450|ATP18_YEAST",59
"sp|P36122|BCH2_YEAST",765
"sp|P50077|CCH1_YEAST",2039
"sp|P03965|CARB_YEAST",1118
"sp|P40986|CDC1_YEAST",491
"sp|P27895|CIN8_YEAST",1000
"sp|P38892|CRG1_YEAST",291
"sp|Q01217|ARG56_YEAST",863
"sp|P36090|ANR2_YEAST",516
"sp|Q8TGM7|ART2_YEAST",61
"sp|P35193|ATG19_YEAST",415
"sp|P00830|ATPB_YEAST",511
"sp|Q12186|BBP_YEAST",476
"sp|Q12365|BBP1_YEAST",385
"sp|Q01532|BLH1_YEAST",483
"sp|P23293|BUR1_YEAST",657
"sp|P80235|CACM_YEAST",687
"sp|P38273|CCZ1_YEAST",704
"sp|P53298|CENPQ_YEAST",406
"sp|P40987|CIN1_YEAST",1014
"sp|P14306|CPYI_YEAST",219
"sp|Q03048|COFI_YEAST",143
"sp|P53344|COS6_YEAST",381
"sp|Q04632|COG8_YEAST",607
"sp|Q08054|CSI2_YEAST",341
"sp|P53868|ALG9_YEAST",555
"sp|P08566|ARO1_YEAST",1588
"sp|Q12354|APTH1_YEAST",227
"sp|Q07879|ATG10_YEAST",167
"sp|P27637|BUD14_YEAST",709
"sp|P25356|BPH1_YEAST",2167
"sp|P36038|CBT1_YEAST",271
"sp|P26309|CDC20_YEAST",610
"sp|Q12262|CENPH_YEAST",181
"sp|P40202|CCS1_YEAST",249
"sp|P29465|CHS3_YEAST",1165
"sp|Q3E829|CENPX_YEAST",80
"sp|P53332|COAD_YEAST",305
"sp|P00410|COX2_YEAST",251
"sp|P49017|COQ5_YEAST",307
"sp|Q08223|AIM39_YEAST",395
"sp|P43547|AAD6_YEAST",212
"sp|P00331|ADH2_YEAST",348
"sp|P07249|ARGR1_YEAST",177
"sp|Q12028|AP1G1_YEAST",832
"sp|Q00381|AP2S_YEAST",147
"sp|P38813|BIG1_YEAST",335
"sp|P40493|BMT5_YEAST",336
"sp|P53630|BIOD_YEAST",237
"sp|P53194|BRP1_YEAST",125
"sp|P35817|BDF1_YEAST",686
"sp|P36106|BYE1_YEAST",594
"sp|Q06632|CFT1_YEAST",1357
"sp|Q05791|CD123_YEAST",360
"sp|Q12510|CMR1_YEAST",522
"sp|P40094|COG3_YEAST",801
"sp|Q08548|ALE1_YEAST",619
"sp|P29589|AHT1_YEAST",182
"sp|Q12433|AHC1_YEAST",566
"sp|P35183|AST1_YEAST",429
"sp|P38731|ARN1_YEAST",627
"sp|P38928|AXL2_YEAST",823
"sp|Q12064|BUD30_YEAST",193
"sp|P50084|BNS1_YEAST",137
"sp|P48524|BUL1_YEAST",976
"sp|O13558|BSC3_YEAST",102
"sp|P17891|CLC1_YEAST",233
"sp|Q08685|CLP1_YEAST",445
"sp|Q01649|CIK1_YEAST",594
"sp|P32623|CRH2_YEAST",467
"sp|P36000|AP1B1_YEAST",726
"sp|Q12380|ATG5_YEAST",294
"sp|P34730|BMH2_YEAST",273
"sp|P43573|BUD27_YEAST",796
"sp|P32873|BEM3_YEAST",1128
"sp|P32839|BCS1_YEAST",456
"sp|Q07442|BDF2_YEAST",638
"sp|Q05611|BSC2_YEAST",235
"sp|P27825|CALX_YEAST",502
"sp|P06704|CDC31_YEAST",161
"sp|P43618|CENPT_YEAST",361
"sp|P32074|COPG_YEAST",935
"sp|P47177|2NDP_YEAST",404
"sp|Q12031|ACEB_YEAST",575
"sp|P36117|ALY1_YEAST",915
"sp|P28777|AROC_YEAST",376
"sp|P32449|AROG_YEAST",370
"sp|P53722|ATP23_YEAST",227
"sp|Q08492|BUD21_YEAST",214
"sp|P38770|BRL1_YEAST",471
"sp|P53062|BRR6_YEAST",197
"sp|P40450|BNR1_YEAST",1375
"sp|Q12140|BSC1_YEAST",328
"sp|P50080|AZR1_YEAST",613
"sp|P03874|CBP2_YEAST",630
"sp|P36130|CAF4_YEAST",643
"sp|Q12748|CENPI_YEAST",733
"sp|P07834|CDC4_YEAST",779
"sp|P38242|ALG14_YEAST",237
"sp|Q12233|ATPN_YEAST",115
"sp|P40416|ATM1_YEAST",690
"sp|P22135|ATP12_YEAST",325
"sp|P22035|BAS1_YEAST",811
"sp|P07253|CBP6_YEAST",162
"sp|P14905|CBS2_YEAST",389
"sp|P27614|CBPS_YEAST",576
"sp|Q2V2P8|CENPW_YEAST",89
"sp|P31787|ACBP_YEAST",87
"sp|P0CD90|AQY2_YEAST",149
"sp|Q06628|ATG13_YEAST",738
"sp|P13090|ATR1_YEAST",542
"sp|Q12191|BUG1_YEAST",341
"sp|Q06338|BCP1_YEAST",283
"sp|Q06604|BSP1_YEAST",576
"sp|P22149|AFT1_YEAST",690
"sp|P46989|ATG27_YEAST",271
"sp|P38125|DTR1_YEAST",572
"sp|P16151|ERD1_YEAST",362
"sp|P38137|FAT2_YEAST",543
"sp|P19097|FAS2_YEAST",1887
"sp|Q06001|FAR10_YEAST",478
"sp|P40068|FLO8_YEAST",799
"sp|Q04839|GFD1_YEAST",188
"sp|Q12263|GIN4_YEAST",1142
"sp|P32775|GLGB_YEAST",704
"sp|Q08726|GPN2_YEAST",347
"sp|P38211|GPI18_YEAST",433
"sp|P41911|GPD2_YEAST",440
"sp|Q03281|HEH2_YEAST",663
"sp|P69852|HSK3_YEAST",69
"sp|P38274|HSL7_YEAST",827
"sp|Q12520|HUT1_YEAST",339
"sp|P25626|IMG1_YEAST",169
"sp|P36016|LHS1_YEAST",881
"sp|P36146|LAS1_YEAST",502
"sp|P38998|LYS1_YEAST",373
"sp|Q06508|LOA1_YEAST",300
"sp|P47025|MDV1_YEAST",714
"sp|P33311|MDL2_YEAST",773
"sp|P47912|LCF4_YEAST",694
"sp|Q08601|MCA1_YEAST",432
"sp|P43563|MOB2_YEAST",287
"sp|P53157|MPC1_YEAST",130
"sp|P38013|AHP1_YEAST",176
"sp|P46672|ARC1_YEAST",376
"sp|P47036|APQ13_YEAST",138
"sp|P40467|ASG1_YEAST",964
"sp|Q12429|DPH6_YEAST",685
"sp|P17064|FCY2_YEAST",533
"sp|P40466|FKH1_YEAST",484
"sp|P33893|GATB_YEAST",541
"sp|P08524|FPPS_YEAST",352
"sp|P32621|GDA1_YEAST",518
"sp|P39726|GCSH_YEAST",170
"sp|P38817|GGA2_YEAST",585
"sp|P38715|GRE3_YEAST",327
"sp|Q12068|GRE2_YEAST",342
"sp|Q06201|GMC2_YEAST",188
"sp|P32288|GLNA_YEAST",370
"sp|P41921|GSHR_YEAST",483
"sp|P00498|HIS1_YEAST",297
"sp|P47171|HIR3_YEAST",1648
"sp|P32590|HSP79_YEAST",693
"sp|P32466|HXT3_YEAST",567
"sp|Q04178|HPRT_YEAST",221
"sp|P26798|INO2_YEAST",304
"sp|P06244|KAPA_YEAST",397
"sp|P40206|JLP2_YEAST",208
"sp|Q04437|KU80_YEAST",629
"sp|P36007|LTHAD_YEAST",326
"sp|P40495|LYS12_YEAST",371
"sp|P38878|LNP_YEAST",278
"sp|P38999|LYS9_YEAST",446
"sp|P43603|LSB3_YEAST",459
"sp|Q99278|MED11_YEAST",115
"sp|P53083|MDM34_YEAST",459
"sp|P34162|MED20_YEAST",210
"sp|P0CY08|MTAL2_YEAST",210
"sp|Q08951|AP3D_YEAST",932
"sp|Q02887|ATG21_YEAST",496
"sp|P32892|DRS1_YEAST",752
"sp|P53073|EMC4_YEAST",190
"sp|P42842|EMW1_YEAST",904
"sp|P32801|ELM1_YEAST",640
"sp|P38289|EXO5_YEAST",585
"sp|P38993|FET3_YEAST",636
"sp|P26793|FEN1_YEAST",382
"sp|P43535|GCN20_YEAST",752
"sp|P36148|GPT2_YEAST",743
"sp|P38523|GRPE_YEAST",228
"sp|P39982|HHY1_YEAST",102
"sp|P22202|HSP74_YEAST",642
"sp|P0CS90|HSP77_YEAST",654
"sp|P40325|HUA1_YEAST",198
"sp|P21190|IME1_YEAST",360
"sp|P53892|IBD2_YEAST",351
"sp|P53843|IST1_YEAST",298
"sp|Q12342|LDB17_YEAST",491
"sp|P35688|LRG1_YEAST",1017
"sp|Q01846|MDM1_YEAST",1127
"sp|P32419|MDHP_YEAST",343
"sp|P36013|MAOM_YEAST",669
"sp|P46982|MNN5_YEAST",586
"sp|P40549|MNT3_YEAST",630
"sp|P36084|MUD2_YEAST",527
"sp|Q04689|AIM32_YEAST",311
"sp|P40023|EDC2_YEAST",145
"sp|P40464|FLX1_YEAST",311
"sp|P38866|FMO1_YEAST",432
"sp|P38231|FMP23_YEAST",175
"sp|P53233|FMP48_YEAST",369
"sp|Q08908|FRE5_YEAST",694
"sp|Q12473|FRE6_YEAST",712
