"id","num_amino_acids_in_sample","num_chain_amino_acids_in_sample","numberofAA","num_caa"
"P43563",23,23,287,155
"P45978",13,13,349,294
"P25342",28,20,322,126
"P33311",9,1,773,286
"P39685",10,10,1337,626
"O94742",12,12,89,71
"P10356",21,16,443,215
"P52870",10,10,82,57
"P50947",26,19,330,222
"P40210",13,13,489,334
"P50623",7,2,157,69
"P32767",19,7,1081,305
"Q06639",30,14,885,420
"P53378",16,6,473,197
"P53335",15,10,271,177
"P41920",23,18,201,118
"Q08581",20,20,821,360
"Q04969",28,10,178,58
"Q08179",17,10,573,321
"P46988",12,2,109,13
"P04161",9,0,214,83
"P38244",15,6,976,442
"P06367",7,7,137,72
"P53337",12,9,310,86
"P32908",14,3,1225,277
"P38129",38,30,798,479
"P47170",19,11,1584,949
"Q3E834",42,18,85,26
"Q07657",12,11,551,332
"P40054",45,20,469,222
"P17629",19,0,752,341
"Q05942",26,7,220,140
"P20795",40,9,691,335
"P48570",12,6,428,201
"P48445",22,13,690,318
"P38122",17,1,312,145
"Q12242",18,4,671,334
"P06174",11,1,275,101
"Q05050",16,16,843,394
"Q12748",17,4,733,259
"P38749",14,3,330,213
"Q02199",49,6,472,304
"P32492",18,5,1471,503
"P32477",22,14,678,330
"P32831",13,2,672,459
"P36108",9,7,232,79
"Q06505",12,5,410,294
"P19358",34,15,384,180
"P28789",32,12,327,129
"P38131",10,2,464,240
"P53270",9,0,476,221
"P32447",9,2,279,187
"P34163",10,0,548,305
"P40579",20,8,254,89
"P32566",39,22,505,367
"P33313",12,0,385,157
"P53012",15,4,380,108
"Q12305",15,6,139,74
"P25374",17,5,497,223
"Q06169",11,6,523,273
"P49334",54,20,152,79
"P32458",19,11,415,185
"P32842",18,1,164,33
"Q12329",23,14,375,288
"P53088",14,14,359,178
"P36168",9,4,1195,603
"P17898",13,1,393,106
"P53507",13,9,60,24
"P53171",8,6,287,142
"P14922",26,26,966,825
"P40517",10,10,327,253
"P38169",54,25,460,165
"P39002",10,10,694,286
"P32591",19,5,825,573
"P11633",13,5,99,44
"Q12033",10,7,661,159
"Q03305",22,10,412,200
"Q12455",23,8,300,120
"P38523",19,11,228,95
"Q03661",17,17,1658,1480
"Q06506",11,4,573,325
"P25555",12,2,427,254
"Q12387",14,2,796,213
"P38803",16,16,334,156
"P28625",29,13,365,153
"P39101",14,0,391,133
"P37370",23,23,817,804
"P32835",13,10,219,102
"P47035",15,15,1189,1135
"P48606",13,3,106,16
"P22276",19,0,1149,525
"Q3E7Y3",9,2,130,41
"P53295",33,25,368,170
"Q08723",94,49,338,228
"P38237",18,3,781,402
"P25626",21,11,169,95
"P36069",15,8,295,158
"P25037",32,14,809,543
"Q07953",7,2,250,93
"P38792",34,25,359,197
"P25654",7,1,182,75
"Q08686",20,9,304,167
"Q08726",14,7,347,130
"Q12099",21,10,399,172
"P32570",10,0,121,40
"P01120",33,33,322,218
"Q05931",27,9,657,234
"P38833",15,3,243,161
"P11491",19,5,566,297
"P19073",28,13,191,78
"P36006",18,18,1272,660
"P18899",145,145,430,397
"Q03063",33,27,452,399
"Q12191",30,30,341,281
"P38827",8,2,1080,647
"P53946",9,3,755,300
"P32623",11,6,467,346
"P43554",10,1,623,385
"P48837",12,0,541,355
"P53073",10,0,190,91
"P40353",37,16,525,225
"P47045",30,16,478,283
"P38281",63,25,316,152
"P16547",14,7,393,114
"P32453",11,3,318,165
"Q03834",9,2,1242,642
"P26755",33,14,122,51
"Q08962",19,8,181,76
"Q06680",14,6,1035,425
"Q07688",13,1,167,54
"P40059",14,11,670,618
"P34248",28,12,587,242
"P53954",13,4,548,214
"P47135",29,11,1091,740
"P47031",9,0,731,274
"P40086",14,1,486,176
"Q12676",20,7,427,181
"Q03525",14,14,211,172
"P40348",25,7,353,135
"P26754",48,9,273,149
"P25808",26,16,606,252
"P53164",32,20,384,174
"P43619",7,0,295,115
"Q03799",14,9,155,58
"P40318",12,6,1319,597
"Q12060",11,0,488,291
"Q08199",16,6,421,182
"P46678",11,4,594,422
"Q08960",14,14,810,501
"P41813",9,9,862,674
"P21306",13,11,62,31
"Q12690",29,24,199,105
"P49166",17,13,88,68
"P51402",9,9,88,65
"P53094",7,7,1487,1091
"P07866",15,4,1435,854
"Q03630",16,7,159,75
"P40007",12,12,231,162
"P22023",24,9,1365,639
"Q12496",50,13,1037,359
"P19146",39,17,181,80
"P38616",12,6,354,201
"P46992",27,16,396,250
"P47095",25,9,244,112
"P11076",53,21,181,81
"P23642",11,1,535,274
"Q03219",30,11,274,101
"Q3E793",24,5,110,49
"P38624",11,2,215,83
"Q12034",18,5,447,324
"P43561",9,5,622,328
"P32657",10,0,1468,847
"Q05933",30,10,178,84
"P40850",15,6,830,382
"P34240",9,5,503,298
"P47165",45,17,209,83
"Q12010",10,9,308,114
"Q12063",10,10,375,205
"P40989",33,16,1895,711
"Q02875",15,15,849,722
"P36103",20,9,277,182
"P39706",13,13,426,245
"P36041",13,13,632,612
"Q12156",11,0,149,57
"P32335",14,0,436,210
"P53218",10,0,158,68
"P40070",11,4,187,127
"P22082",10,4,1703,1029
"P38759",25,7,282,181
"Q05031",13,1,458,209
"P47017",7,0,172,90
"P32843",49,11,850,358
"Q12207",33,4,173,52
"P24000",12,7,155,80
"P04449",12,7,155,78
"Q12122",20,7,440,203
"Q92317",14,8,146,58
"P47103",20,7,393,169
"P25361",12,7,127,74
"P53123",7,4,320,157
"Q04739",17,6,417,323
"P40005",21,2,111,25
"P40516",13,2,257,119
"P40454",20,10,393,197
"P23595",18,5,377,212
"P80967",15,10,50,12
"P53847",20,7,754,281
"P53900",30,19,129,36
"Q04632",19,9,607,328
"Q12016",11,11,184,77
"Q06107",14,6,315,74
"P38806",22,19,282,190
"Q3E7X9",11,7,67,25
"P32353",32,7,365,112
"P38307",17,6,211,58
"Q99385",17,17,411,100
"P35183",12,9,429,193
"Q06632",21,8,1357,660
"P52891",41,4,726,244
"P42938",8,0,290,117
"P11433",22,5,854,457
"P16622",45,23,393,167
"Q04322",22,5,720,372
"P32349",16,6,654,266
"Q01217",33,8,863,391
"P38193",15,2,441,332
"P03872",45,13,296,177
"Q00362",15,15,526,329
"P53250",15,10,332,152
"P40056",16,11,285,176
"P33331",55,15,125,33
"P25365",7,2,1065,673
"P40317",9,0,901,546
"Q07395",8,0,620,201
"P28273",54,17,1286,535
"P34162",11,6,210,80
"P32604",12,5,452,203
"P33307",102,25,960,250
"P19956",11,2,98,33
"P06780",71,27,209,99
"P06781",11,6,192,85
"Q05874",61,21,261,103
"P46970",38,4,1048,288
"P49017",26,2,307,126
"P06102",35,28,836,578
"Q07915",10,3,199,101
"P40037",80,25,129,54
"P35179",10,0,80,25
"Q07979",15,5,502,272
"P36534",12,9,297,163
"P25386",27,3,1790,371
"P32523",10,0,503,241
"Q03429",18,2,123,58
"P53834",12,8,153,56
"P53829",12,0,373,165
"P34243",12,5,683,291
"P53070",15,5,669,299
"P23292",17,7,546,383
"P39526",12,0,2014,672
"P40481",12,5,377,184
"P38067",25,15,497,191
"P40518",43,15,154,58
"P12385",122,36,437,170
"Q12427",14,2,513,423
"P43597",14,14,1233,948
"P06700",13,6,562,321
"P38929",14,4,1173,485
"Q02767",13,8,242,91
"P22517",11,10,447,201
"P40582",30,5,234,80
"P07143",16,11,309,200
"Q06177",9,7,86,84
"P35197",30,29,352,218
"P22855",10,4,1083,484
"P50089",9,0,785,572
"P18852",17,9,110,65
"P35203",15,6,478,234
"P47076",24,5,161,75
"P23291",22,22,538,373
"P43596",24,17,787,490
"P36037",40,13,715,279
"P38348",36,10,480,150
"P48360",9,6,493,224
"P53317",13,13,196,160
"P50102",10,3,471,218
"P40856",15,6,1058,699
"P53079",36,14,417,142
"P16451",26,19,410,246
"P46676",24,24,1062,841
"P41896",8,1,400,253
"P38845",37,37,465,414
"P48524",11,6,976,633
"P32784",42,13,759,366
"P53877",23,10,555,317
"Q01159",14,8,459,222
"P32316",29,15,526,251
"P33775",68,48,817,357
"P32386",68,37,1661,568
"Q12406",21,7,477,194
"Q05543",23,5,409,223
"Q01080",15,5,415,192
"P40540",13,9,141,66
"P41921",55,26,483,213
"P12868",31,13,1029,437
"Q99257",47,12,599,303
"P38688",37,11,640,248
"P38225",52,25,669,272
"Q12100",15,15,620,446
"P25360",27,19,923,375
"P21373",11,3,530,320
"Q06708",21,2,880,365
"Q12071",18,0,889,375
"P53114",8,0,1132,456
"P33296",35,17,250,146
"Q04458",14,0,532,219
"P06244",13,7,397,219
"P38758",22,11,523,272
"Q12028",10,4,832,316
"P41819",21,6,318,151
"P33332",11,0,1336,660
"Q04493",35,15,163,44
"Q04781",23,3,1562,500
"P28000",40,24,142,75
"Q12283",17,9,360,145
"P53965",11,0,281,151
"P53154",28,27,560,160
"Q12341",7,4,374,117
"P17106",16,0,351,252
"P47124",10,2,396,187
"P32342",27,15,167,103
"Q06350",15,0,511,281
"Q04472",15,0,501,181
"P39940",10,4,809,445
"Q02455",54,30,1875,395
"Q12043",37,11,749,399
"P07703",12,7,335,149
"P32496",35,5,274,89
"P33753",18,15,639,315
"P38798",7,0,1089,458
"P32559",13,5,526,197
"P32644",17,11,1121,683
"Q3E798",12,0,87,39
"P08004",14,1,1131,597
"Q03177",15,11,834,587
"Q08773",9,0,1120,570
"P32862",12,7,1170,823
"Q12429",18,2,685,305
"P31380",13,8,1131,661
"P38085",13,5,619,231
"P40208",11,0,455,261
"P53293",7,3,376,116
"P40557",10,0,701,335
"P47064",13,2,194,94
"P38198",7,0,1513,723
"P53734",12,0,629,354
"Q05934",23,7,901,435
"Q08484",11,8,637,393
"P38988",71,7,300,61
"Q05580",23,6,639,434
"P53941",8,4,290,121
"P38206",11,0,574,119
"P38272",9,0,425,211
"P21182",40,18,396,206
"Q12415",30,24,435,266
"Q02948",7,0,557,269
"P21243",44,19,252,94
"P38712",12,3,501,249
"P27515",8,2,501,223
"Q06218",47,13,594,297
"Q03496",9,6,1420,417
"Q08299",14,2,606,129
"Q01852",52,29,431,130
"P53192",25,8,235,70
"P52488",18,1,636,341
"Q04177",40,15,643,336
"P32642",23,8,244,96
"P54784",15,5,914,458
"P53875",21,12,158,78
"P25631",35,12,222,111
"P53173",38,3,138,24
"Q12355",15,12,444,295
"P32500",46,12,655,278
"Q02206",11,3,625,354
"P50087",20,3,233,75
"P53333",25,3,577,239
"Q12166",33,9,604,256
"P53040",39,24,516,212
"P53909",21,9,347,115
"Q03503",8,4,176,60
"P47037",21,0,1230,265
"Q01574",10,5,713,341
"P49367",76,29,693,340
"P53172",61,23,527,329
"Q04264",31,7,1277,455
"P38314",71,14,527,328
"P34227",11,7,261,136
"P53326",25,7,701,375
"P53874",15,6,792,583
"P50086",21,13,228,108
"Q12055",9,2,197,81
"Q08732",11,7,759,594
"P36523",21,6,253,125
"P0C2H8",9,4,113,46
"P53617",12,0,575,380
"P46673",23,12,744,267
"Q00402",9,9,2748,1136
"P10662",14,9,321,172
"P38910",57,32,106,63
"P39525",40,16,442,219
"P34226",9,2,696,439
"Q03104",28,7,513,187
"Q03362",39,8,224,66
"P53045",51,17,309,91
"P21375",14,4,501,236
"Q04869",52,24,349,127
"P33399",23,17,275,136
"P39726",37,25,170,98
"P24276",115,49,1250,802
"P38181",12,3,1502,672
"P25576",24,6,258,106
"P38121",7,0,705,450
"Q02932",33,6,1032,261
"P47110",18,6,350,280
"P53076",15,3,958,587
"P23180",24,7,465,236
"Q06511",11,0,250,147
"Q06217",30,14,110,40
"P33767",34,10,430,205
"P19812",49,19,1950,915
"P36051",19,5,919,274
"P38996",27,11,802,657
"P40015",27,10,477,205
"P09457",51,13,212,83
"Q08816",7,0,343,218
"Q05881",15,0,355,101
"Q06631",27,10,534,365
"Q12386",30,10,881,490
"P38151",14,10,413,237
"P00546",14,9,298,148
"P52553",37,18,114,29
"P38630",8,0,861,502
"P53929",15,9,270,140
"Q01722",7,2,534,415
"P17157",30,10,305,147
"P21827",45,31,482,296
"P53878",71,30,407,174
"P40580",36,15,263,96
"P53196",13,4,417,211
"Q04080",23,9,534,227
"P34241",16,0,1764,642
"P22141",27,5,198,67
"P53011",14,2,349,186
"Q04119",22,10,674,397
"P40857",55,13,217,50
"P54860",64,6,961,280
"P47130",11,4,423,137
"P32502",61,18,381,163
"P32259",42,15,974,453
"Q06252",93,46,201,109
"Q06682",26,18,500,318
"P39945",15,9,430,203
"Q08689",27,15,176,70
"Q99312",31,11,450,201
"P47089",27,10,198,66
"Q12502",11,11,818,550
"Q06485",25,25,197,100
"P33297",44,14,434,188
"P42838",11,9,414,235
"P38182",18,3,117,55
"P38248",41,24,429,289
"P14120",72,25,105,39
"Q01477",17,4,912,644
"P04650",11,8,51,25
"Q02457",20,6,562,315
"Q03516",27,15,953,402
"P47019",25,25,175,135
"P17536",83,6,199,28
"P53115",18,3,1489,825
"P36090",11,0,516,255
"P12962",45,45,161,133
"P35189",50,28,244,123
"P15179",11,4,658,295
"P25339",54,40,888,594
"Q02642",73,37,157,81
"P33411",11,0,251,129
"P05755",16,16,195,99
"P48836",26,2,114,23
"P32356",77,40,751,367
"P21801",11,5,266,121
"P38913",13,6,306,156
"P52917",11,4,437,177
"P20485",21,9,582,344
"P38604",10,5,731,326
"P40533",41,15,473,249
"P10869",60,19,527,205
"P39929",15,15,240,121
"P32590",36,8,693,252
"P36048",19,7,1008,485
"P34253",11,4,313,135
"Q02884",15,8,456,298
"Q06205",30,13,392,274
"P53273",7,3,1036,429
"P40368",39,26,713,288
"P39966",44,19,464,237
"P29547",102,29,415,162
"P38886",63,20,268,139
"P38837",33,1,291,99
"P38829",19,7,231,130
"Q12270",17,10,262,90
"P42842",24,10,904,324
"Q06338",38,10,283,148
"P20459",56,14,304,101
"Q05785",22,3,613,419
"P32832",11,9,435,282
"P40347",13,5,161,59
"P46971",32,21,762,314
"Q12451",8,2,1283,685
"P25605",82,28,309,166
"Q08237",19,8,289,178
"P53185",15,4,909,510
"Q12297",8,0,353,236
"P40064",51,14,1391,608
"P43585",27,2,828,407
"P38732",33,20,585,237
"Q12532",11,1,1038,557
"P53131",81,29,767,315
"P40362",18,10,594,378
"P09959",12,3,803,419
"Q08220",47,7,491,170
"Q12250",111,20,445,109
"P43621",34,15,546,316
"P32485",25,12,435,222
"Q07451",22,4,203,69
"Q12306",40,15,101,54
"P28007",29,15,205,159
"P53379",20,5,596,350
"Q12271",57,35,1107,593
"Q08961",9,3,583,269
"P38903",31,13,757,429
"P32634",31,31,1753,1363
"P46948",28,3,246,97
"Q12008",8,5,311,161
"P35688",13,2,1017,580
"P38736",10,1,223,38
"P32329",33,10,569,334
"Q07551",111,51,312,141
"P47018",58,14,478,309
"P39926",10,0,295,71
"Q02785",39,15,1511,553
"P48362",27,17,394,164
"P20448",26,5,770,429
"Q12009",23,19,286,158
"P48365",8,1,746,329
"P38080",86,58,1108,891
"P53233",8,0,369,163
"P29366",18,12,551,334
"Q05778",52,24,276,163
"P46985",36,13,422,232
"P18900",23,5,473,209
"P33334",36,10,2413,1105
"P23059",23,5,88,24
"P38149",37,10,878,409
"P50946",28,14,238,145
"P27466",10,0,446,230
"P53228",11,1,333,108
"Q12453",39,5,761,398
"P19454",54,25,339,146
"Q04958",30,20,1679,1041
"Q12255",36,10,253,67
"P53075",26,1,577,198
"P32855",75,26,1065,379
"P14906",60,23,663,307
"P08964",18,5,1928,549
"Q12402",8,0,180,30
"Q02979",34,17,1223,652
"P04821",27,5,1589,958
"P04819",22,4,755,372
"P41734",7,0,238,93
"Q05021",11,2,590,441
"P25623",47,26,870,571
"P40986",37,22,491,255
"P08466",22,22,329,199
"P53155",27,10,381,218
"P20107",17,6,442,197
"P40350",13,0,334,149
"Q03330",10,0,439,196
"P49956",12,6,741,392
"Q02931",93,47,896,475
"P39969",11,2,1040,889
"Q03648",23,9,457,183
"P08539",7,0,472,215
"P40363",39,11,299,134
"Q06245",11,0,871,294
"P40099",49,16,211,97
"P30771",17,14,971,524
"P18414",19,0,219,55
"P36040",83,34,267,173
"P35728",15,3,441,309
"P32629",18,6,500,283
"P40339",17,4,323,110
"P53066",37,23,181,91
"Q03337",34,6,283,164
"P47108",24,0,1174,325
"P25572",9,3,119,81
"Q07716",68,34,390,204
"Q05946",51,22,817,349
"Q02908",18,12,557,234
"P32462",19,8,438,126
"P40093",76,31,338,149
"P53261",13,2,605,371
"P53899",8,0,274,186
"P52593",86,33,1655,562
"Q06630",10,4,226,109
"P87284",19,1,55,8
"Q12179",12,0,454,221
"P40469",19,1,1032,274
"Q03016",43,20,1276,914
"P16661",14,7,449,165
"P53332",68,37,305,150
"Q12377",22,7,434,100
"P40106",38,13,250,115
"P25371",28,11,1049,457
"P40468",27,3,2376,1017
"P47127",20,11,394,223
"P54964",44,8,269,147
"Q07897",22,7,291,180
"P36775",97,29,1133,530
"Q06677",13,0,668,412
"Q12241",20,0,283,117
"P24031",28,24,467,231
"P40991",91,55,618,395
"P69850",9,0,94,34
"Q07508",13,0,261,95
"P53281",15,4,241,180
"P09733",76,45,447,185
"Q12354",18,6,227,91
"P50108",33,20,393,248
"Q99383",40,34,534,420
"P42935",35,19,788,380
"P20604",11,8,311,151
"Q12038",18,8,1033,550
"P50085",54,25,310,88
"Q03103",49,17,563,271
"Q04235",13,6,462,207
"P34246",8,2,357,177
"Q02754",12,5,198,107
"Q12348",9,0,645,265
"Q04178",57,24,221,97
"P16892",33,11,353,175
"P36047",78,54,338,246
"P36160",30,4,344,198
"P41056",17,7,107,45
"P05744",17,7,107,45
"P50264",37,11,508,219
"Q02630",27,13,1113,936
"P20436",21,7,146,70
"P16664",31,7,663,351
"P14907",73,37,823,574
"P32898",23,5,989,342
"P19263",46,23,1082,501
"Q04430",13,0,367,156
"P32639",23,0,2163,907
"Q04062",59,11,393,89
"P52490",26,14,153,73
"Q05515",87,23,481,257
"P46681",32,23,530,246
"P23638",92,27,258,108
"P11938",60,51,827,598
"P47039",20,5,444,194
"P53183",40,32,348,141
"P40164",12,2,858,372
"Q12697",27,9,1472,729
"P38747",19,19,307,139
"P50278",19,6,321,171
"P37262",36,16,315,186
"P53973",20,3,706,364
"P36151",13,5,352,173
"P54000",23,16,292,244
"P40087",71,33,428,223
"P43123",58,22,477,200
"P35176",60,18,225,121
"P06787",70,22,147,51
"P32476",127,39,496,183
"P06100",15,4,191,95
"P32352",29,3,222,69
"Q12746",48,7,312,131
"P53839",37,12,350,175
"P40008",27,12,231,99
"P40066",15,6,365,203
"P53137",11,11,624,333
"P35732",45,43,738,669
"P07274",43,13,126,43
"P53039",29,12,248,109
"P25303",15,7,377,194
"P32771",38,25,386,175
"P47133",10,0,292,66
"P25847",78,21,964,333
"Q03102",36,23,365,147
"P53893",35,18,1110,514
"Q04013",82,21,314,72
"P38986",66,40,381,205
"P22213",37,12,666,347
"Q08144",10,0,397,209
"P52489",10,6,506,195
"P38779",32,8,376,221
"P38203",13,5,95,37
"P38853",25,13,1164,727
"P21734",27,18,215,104
"P23287",14,4,553,268
"Q05905",42,15,244,120
"P46680",120,60,615,304
"P32472",34,17,135,66
"Q06449",15,5,215,155
"Q03782",9,2,492,263
"P32598",74,41,312,147
"P32319",30,14,1579,904
"P32178",48,12,256,101
"P14020",96,37,267,103
"P36008",150,50,412,165
"P42937",10,0,148,61
"P38692",42,42,1080,892
"P43582",38,38,211,197
"P39011",17,2,633,200
"Q06179",12,12,2628,1067
"P53008",30,10,833,392
"Q03761",12,12,539,354
"P38427",71,36,1098,621
"P11353",84,25,328,122
"Q08193",43,20,484,304
"P21524",100,56,888,412
"P04076",61,13,463,148
"P38337",13,0,142,53
"P47047",114,56,1073,483
"Q12199",15,10,356,206
"P32466",73,33,567,149
"P38065",38,11,1025,380
"Q04409",71,28,500,200
"Q12522",31,15,245,103
"P53169",8,3,641,225
"P53163",32,6,194,118
"Q03264",27,18,515,277
"P31334",32,12,269,156
"Q02793",40,22,397,212
"P46683",20,8,200,98
"P06777",48,22,1100,593
"P50861",70,26,169,61
"P40159",99,74,199,169
"P17883",47,8,1432,417
"Q04600",32,9,565,276
"P35184",33,14,431,232
"P38698",23,4,397,147
"P36120",25,14,742,429
"P53691",155,61,371,144
"P32793",19,4,468,313
"P38325",26,3,134,35
"P22007",44,16,431,194
"Q12458",90,42,312,143
"P20424",70,35,541,285
"P53334",41,15,386,236
"P32794",49,14,780,343
"Q05567",55,22,589,235
"Q12029",69,14,327,96
"P00572",38,17,216,90
"P22147",128,64,1528,772
"P54003",19,17,302,153
"Q06408",127,43,635,284
"Q03778",17,8,218,115
"P38355",25,0,427,89
"P38968",162,100,1273,865
"P53009",15,0,804,366
"P15436",14,1,1097,475
"Q08230",15,1,162,82
"P46995",11,4,733,375
"P38627",117,44,578,243
"Q06624",59,14,347,129
"P53145",34,10,640,361
"P32332",32,10,324,83
"P13185",32,13,1064,818
"P32565",149,42,945,361
"P38081",34,26,501,238
"P14904",162,71,514,252
"P39729",74,31,369,172
"P09440",146,59,975,420
"P15274",71,29,810,452
"P49435",58,18,187,68
"P25343",20,0,265,56
"P0C268",14,6,59,28
"P25367",67,41,405,332
"P53889",103,65,259,125
"P53883",16,1,403,263
"Q06106",72,26,887,557
"Q12446",18,18,633,545
"P53136",28,19,463,271
"P40501",19,9,490,162
"Q99369",24,18,266,142
"Q12196",20,11,484,296
"P38234",61,20,210,89
"Q04603",14,0,196,124
"P00899",74,45,507,191
"P37012",95,62,569,259
"P40506",61,29,365,167
"P32445",49,21,135,68
"P40341",21,13,825,434
"P38230",36,15,334,139
"P23594",25,8,369,204
"P38804",11,10,111,62
"P41911",75,29,440,206
"P32791",22,2,686,238
"P11914",28,7,482,199
"Q08965",21,14,1183,772
"P15790",8,0,372,169
"P25491",96,44,409,220
"P20133",29,5,325,135
"P32901",7,0,601,219
"P42943",117,52,550,195
"Q06678",27,10,367,202
"P00410",30,13,251,87
"P36017",52,23,210,100
"Q06523",69,37,435,208
"P30619",42,13,724,355
"P06738",86,27,902,315
"P40471",52,30,297,106
"Q12017",18,10,286,151
"P36152",21,9,348,257
"Q06679",54,22,776,422
"Q08959",20,9,321,134
"P53303",59,27,486,235
"P53633",32,22,176,58
"P53111",47,28,347,133
"P43603",65,47,459,295
"P38930",24,8,258,139
"P41543",82,35,476,212
"P21147",58,20,510,228
"P39010",31,11,764,375
"P06785",85,38,304,137
"P42940",16,3,261,114
"Q04066",35,14,261,111
"P05373",28,11,342,161
"Q06010",43,32,1027,402
"P22217",65,20,103,30
"Q05029",72,26,724,296
"Q08601",31,13,432,235
"P39540",20,14,310,95
"P20433",47,13,221,116
"P29478",13,5,273,207
"P38130",25,4,404,225
"P38629",45,16,340,123
"P33416",147,58,811,298
"P38197",36,20,257,100
"Q03774",64,39,444,249
"Q05979",73,28,453,196
"P40457",17,0,1679,305
"Q05123",19,6,467,234
"Q3E795",12,12,98,80
"P40098",34,13,244,101
"P47068",124,98,1157,992
"P32452",8,4,334,138
"P27614",133,64,576,267
"O13585",7,6,888,522
"P38113",15,2,351,148
"Q00416",8,3,2231,1088
"P38070",10,10,525,340
"Q07505",52,25,273,124
"P38328",74,35,384,207
"P14832",127,60,162,73
"P40515",25,7,155,40
"P08456",10,7,276,128
"P25043",54,17,261,110
"P40088",22,15,404,150
"P39111",64,20,118,46
"Q12144",7,2,273,64
"Q99207",20,13,810,488
"Q06336",10,3,557,359
"P23201",23,0,1466,1117
"P32857",18,4,523,219
"Q04217",27,10,1267,712
"P43593",78,37,499,193
"Q08645",57,20,548,229
"P29465",8,0,1165,633
"P39904",13,2,641,230
"P00830",278,103,511,223
