"Proteins","Start.position","End.position","Intensity","Reverse","Potential.contaminant"
"Q00955",1291,1304,477710000,"",""
"P47047",463,469,108790000,"",""
"P40010",368,381,282090000,"",""
"P33767",377,385,20249000,"",""
"P03965",293,314,21945000,"",""
"Q03921",500,523,141920000,"",""
"P39986",514,537,285770000,"",""
"P09950",228,243,320640000,"",""
"P47116",114,137,29653000,"",""
"P17423",146,164,143640000,"",""
"P11412",490,505,29302000,"",""
"Q03690",895,914,395450000,"",""
"Q04182",836,856,2085800,"",""
"P43590",311,322,13265000,"",""
"P27614",75,87,280320000,"",""
"P09620",647,656,10372000,"",""
"P39730",956,969,337390000,"",""
"P32599",459,472,11149000,"",""
"P47143",150,158,36861000,"",""
"P16603",358,368,55863000,"",""
"P53313",427,449,4149400,"",""
"Q02776",248,265,55336000,"",""
"P40047",262,272,49958000,"",""
"P00360",4,11,1331600000,"",""
"P50278",94,111,750070000,"",""
"P47095",126,133,12020000,"",""
"Q12697",652,665,27919000,"",""
"Q07505",58,94,214800000,"",""
"P00358",72,101,2.3777e+10,"",""
"P00360",72,89,4.123e+09,"",""
"P38708",677,686,229780000,"",""
"P00899",358,368,77831000,"",""
"Q04600",511,525,7480500,"",""
"P53295",357,368,37700000,"",""
"P38260",209,218,70971000,"",""
"P38088",198,212,651790000,"",""
"P04801",551,561,176900000,"",""
"P08539",390,396,5924100000,"",""
"Q08162",601,621,45491000,"",""
"Q03655",180,186,18351000,"",""
"P43616",12,22,153590000,"",""
"P12612",541,559,36846000,"",""
"P49435",60,69,224880000,"",""
"Q03161",164,179,201920000,"",""
"P43588",255,267,7304700,"",""
"P38911",216,250,47349000,"",""
"Q04305",504,513,11584000,"",""
"P11075",1012,1041,130250000,"",""
"P33338",840,859,105580000,"",""
"P38972",626,634,1763700000,"",""
"P22768",324,339,41981000,"",""
"P07259",2149,2158,155110000,"",""
"P00359",268,304,1.11e+11,"",""
"Q04177",472,483,456090000,"",""
"P21264",238,245,348610000,"",""
"P53914",489,498,78890000,"",""
"Q03532",175,183,4934100,"",""
"P24280",43,52,273650000,"",""
"Q12125",144,155,72655000,"",""
"P32477",394,408,14869000,"",""
"P23542",310,322,381120000,"",""
"P11353",316,324,46407000,"",""
"P53111",321,330,271590000,"",""
"P34221",133,143,1220600,"",""
"Q03921",155,181,149550000,"",""
"P46677",404,418,17292000,"",""
"P53303",65,74,1762800000,"",""
"P38249",354,364,3751800,"",""
"P48412",92,107,116610000,"",""
"Q12043",90,97,1662400,"",""
"P00815",206,219,257200000,"",""
"Q12341",87,93,6098400,"",""
"P36533",13,23,3169500,"",""
"P15274",397,405,198660000,"",""
"Q05881",255,261,6277700,"",""
"P53090",211,230,393760000,"",""
"P36100",175,188,19035000,"",""
"P33322",285,292,2473500000,"",""
"P38625",242,262,977880000,"",""
"P40957",508,523,10828000,"",""
"P32558",594,607,211350000,"",""
"P07245",526,537,348200000,"",""
"P38934",438,445,88379000,"",""
"P40485",596,605,911670,"",""
"P38688",89,113,669790000,"",""
"P25555",409,425,24899000,"",""
"P38910",43,62,723390000,"",""
"P14907",620,635,64188000,"",""
"P38682",189,199,314040,"",""
"P20049",110,118,18848000,"",""
"P40482",201,230,607670000,"",""
"P48524",386,396,33653000,"",""
"P32333",839,864,29890000,"",""
"P40024",388,423,1973800000,"",""
"P47079",5,15,284890000,"",""
"P32621",238,264,81954000,"",""
"P89105",949,955,6559100,"",""
"P38249",745,757,2436300,"",""
"P39517",281,301,386240000,"",""
"P47037",163,173,11613000,"",""
"P10507",434,459,52347000,"",""
"Q02776",301,322,134850000,"",""
"P48567",308,317,7671600,"",""
"P10964",1351,1363,74536000,"",""
"P53909",259,272,100430000,"",""
"Q00955",1242,1259,36929000,"",""
"P40368",7,24,105410000,"",""
"Q06625",9,23,4437400,"",""
"Q08421",88,97,13629000,"",""
"P19882",394,402,928610000,"",""
"Q99257",354,366,39636000,"",""
"P07256",401,408,81295000,"",""
"P38915",212,219,11528000,"",""
"Q00955",1305,1318,392940000,"",""
"P32502",301,311,48651000,"",""
"P40093",93,101,83431000,"",""
"Q02455",364,381,40650000,"",""
"P32074",586,608,4564800,"",""
"P38972",758,773,5259100000,"",""
"P00560",7,17,485630000,"",""
"Q00955",1532,1568,308230000,"",""
"P38225",576,586,64198000,"",""
"P22515",582,595,120710000,"",""
"P00815",353,363,42894000,"",""
"P20081",81,92,2548100000,"",""
"Q07478",276,287,585390000,"",""
"P16474",553,576,244370000,"",""
"P00549",7,19,1.8812e+10,"",""
"Q03919",54,74,23935000,"",""
"P20459",222,237,3326100000,"",""
"P32074",297,318,4507400000,"",""
"P25847",36,65,51774000,"",""
"P40037",44,52,16245000,"",""
"P32892",627,650,23260000,"",""
"P38988",280,293,184570000,"",""
"P53598",148,162,186200000,"",""
"P06780",13,23,126450000,"",""
"P36017",10,20,68931000,"",""
"Q12460",209,218,237370000,"",""
"P42842",485,497,12742000,"",""
"Q12680",1083,1098,53492000,"",""
"P39522",573,585,70687000,"",""
"P52593",597,605,9013700,"",""
"P13856",6,16,12225000,"",""
"P47044",53,65,54993000,"",""
"P04801",389,400,32965000,"",""
"P07251",236,246,38944000,"",""
"P40825",446,475,832840000,"",""
"P41697",298,316,14865000,"",""
"Q07878",2738,2760,156810000,"",""
"P54860",2,18,32684000,"",""
"P89105",800,807,51275000,"",""
"P00549",217,225,3.0466e+10,"",""
"P22217",7,19,1280400000,"",""
"P43638",191,219,8162100,"",""
"P07991",374,383,58118000,"",""
"Q04491",230,245,55046000,"",""
"P53094",435,445,3397600,"",""
"P32324",93,120,4.3459e+10,"",""
"P32582",236,258,451760000,"",""
"P33307",711,728,628020000,"",""
"P38707",51,65,264260000,"",""
"P25582",339,362,87533000,"",""
"P43616",381,403,781650000,"",""
"Q06833",446,462,13128000,"",""
"P20447",163,179,50253000,"",""
"P04807",104,111,795580000,"",""
"Q12019",322,330,39761000,"",""
"P22202",111,124,288620000,"",""
"Q12517",2,20,10855000,"",""
"P32790",831,857,33712000,"",""
"P16861",230,250,2270800000,"",""
"P53115",1271,1280,4706900,"",""
"P36000",33,43,13139000,"",""
"P46683",92,105,37702000,"",""
"P39729",63,78,172910000,"",""
"P37303",81,95,18002000,"",""
"P32590",110,125,33268000,"",""
"P53852",160,177,58732000,"",""
"P15705",355,361,150020000,"",""
"P23542",279,290,286180000,"",""
"P54115",147,182,40596000,"",""
"P07259",1504,1525,3310400000,"",""
"Q03862",225,232,36482000,"",""
"P06105",1078,1099,57498000,"",""
"P35844",335,344,78807000,"",""
"P38999",35,49,82659000,"",""
"P19882",203,215,1073900000,"",""
"P14747",374,396,8649400,"",""
"P40462",556,575,65269000,"",""
"Q04491",246,259,18494000,"",""
"P31116",70,81,1.009e+10,"",""
"P53270",81,95,10405000,"",""
"P26786",117,138,995270000,"",""
"P32377",46,58,1.36e+08,"",""
"P07143",114,126,13528000,"",""
"Q12754",293,307,3323700,"",""
"P07149",1318,1332,3153100000,"",""
"P38234",61,68,418150,"",""
"P38787",49,57,11033000,"",""
"P53550",579,596,6022500,"",""
"P32047",169,187,9699400,"",""
"P54885",252,269,221690000,"",""
"Q04439",703,714,61775000,"",""
"P18239",9,18,342560000,"",""
"P32897",9,27,6323100,"",""
"P34237",166,176,15518000,"",""
"P32485",10,22,7122000,"",""
"P37302",293,301,137400000,"",""
"P28834",129,140,298430000,"",""
"P54838",361,378,1.19e+08,"",""
"P06105",314,322,51329000,"",""
"P39010",216,235,80532000,"",""
"P39727",245,268,29704000,"",""
"P25605",285,309,178820000,"",""
"P07278",144,167,10705000,"",""
"Q07878",1889,1901,9782700,"",""
"P52893",566,578,21903000,"",""
"P32861",70,78,931800,"",""
"P27809",105,117,151790000,"",""
"P27614",391,403,267390000,"",""
"Q02875",317,344,3104600,"",""
"P03965",360,375,1.9e+08,"",""
"P40693",133,146,93069000,"",""
"P08518",435,445,21427000,"",""
"P16140",453,466,8.045e+09,"",""
"P20447",430,446,1214300000,"",""
"P09938",86,92,785630000,"",""
"P43616",96,120,225060000,"",""
"P32497",269,303,742680000,"",""
"Q12339",132,143,11281000,"",""
"P38627",110,127,105030000,"",""
"Q04493",53,63,21777000,"",""
"Q03532",461,472,9714000,"",""
"P08518",136,145,90150000,"",""
"P22138",873,904,166010000,"",""
"P23638",101,113,158790000,"",""
"P14126",249,266,359810000,"",""
"P16603",556,563,154710000,"",""
"P36048",894,903,6690400,"",""
"P53172",214,225,13815000,"",""
"P32621",152,160,74683000,"",""
"P49367",367,387,15974000,"",""
"P47077",299,316,10301000,"",""
"P38968",1048,1063,212300000,"",""
"P38986",97,111,37767000,"",""
"P38426",146,162,29732000,"",""
"P14742",213,237,6424700,"",""
"P22855",827,839,19851000,"",""
"P21576",249,265,531350000,"",""
"P38972",17,38,273380000,"",""
"P41921",132,140,45689000,"",""
"P39077",340,356,7899200,"",""
"P38075",121,130,53572000,"",""
"P06780",58,73,136330000,"",""
"P32591",292,312,47603000,"",""
"P06105",851,867,114500000,"",""
"P38788",308,322,4.945e+09,"",""
"P38764",792,798,134380000,"",""
"P37012",29,53,423510000,"",""
"P00729",503,532,1360500000,"",""
"P12709",468,482,6082900000,"",""
"P16474",159,172,2740800000,"",""
"P06208",503,532,1.302e+09,"",""
"P32454",791,799,98782000,"",""
"P17255",52,63,1797600000,"",""
"P20459",65,75,19622000,"",""
"P38248",248,262,3868500000,"",""
"P32356",133,142,6869300,"",""
"P23301",57,68,9374600000,"",""
"P32656",182,199,19273000,"",""
"P37898",276,290,1484900000,"",""
"Q04322",275,296,254520000,"",""
"Q02776",289,300,147960000,"",""
"P36059",177,187,43896000,"",""
"P04050",462,469,25291000,"",""
"Q12250",352,359,21901000,"",""
"P04051",1135,1152,60698000,"",""
"P37292",205,215,309060000,"",""
"P53301",252,262,13574000,"",""
"P39683",408,417,54535000,"",""
"P09436",420,433,52182000,"",""
"P06738",280,293,396410000,"",""
"P07259",1046,1076,2590800000,"",""
"Q12754",311,329,286220000,"",""
"P22336",495,504,39765000,"",""
"P07259",544,558,1064300000,"",""
"P20484",217,226,35663000,"",""
"Q06624",36,50,486970000,"",""
"P39079",61,78,1267200000,"",""
"P38720",456,469,25505000,"",""
"Q12118",131,142,959020000,"",""
"P42945",494,504,42513000,"",""
"P21951",720,736,11160000,"",""
"Q08985",17,31,11476000,"",""
"P32599",450,458,3673500,"",""
"P32263",133,140,32864000,"",""
"Q04651",113,137,65809000,"",""
"P43569",247,259,5484500,"",""
"Q12063",73,82,3403800,"",""
"P21576",84,102,294550000,"",""
"P41338",343,362,759580000,"",""
"P08524",118,138,2034500000,"",""
"P13186",393,406,6980600,"",""
"P21576",185,196,150250000,"",""
"P00445",2,9,1079700000,"",""
"P0CS90",28,50,1874400000,"",""
"P39985",322,333,40321000,"",""
"P07262",64,70,14594000,"",""
"P40217",139,146,39386000,"",""
"P32776",12,30,7407200,"",""
"P15625",484,496,740200000,"",""
"P35723",73,98,103880000,"",""
"P49367",318,331,103540000,"",""
"Q06631",301,314,11557000,"",""
"P38328",341,378,31500000,"",""
"P38858",37,61,382110000,"",""
"Q12265",87,98,50148000,"",""
"P35180",69,79,36406000,"",""
"P25375",240,252,7511500,"",""
"Q05022",1111,1129,955310000,"",""
"P16861",483,491,132980000,"",""
"P40215",314,329,449600000,"",""
"P08678",349,367,21893000,"",""
"Q12109",10,18,158890000,"",""
"P12962",74,87,171110000,"",""
"P38625",510,525,640520000,"",""
"P0CS90",216,242,15140000,"",""
"P38708",141,158,70893000,"",""
"P32473",88,108,1974500000,"",""
"P42945",1755,1766,2197100,"",""
"P00330",320,332,8.4735e+10,"",""
"P53972",414,422,17595000,"",""
"P07702",1038,1045,69454000,"",""
"Q00764",321,341,38342000,"",""
"P53953",67,85,92687000,"",""
"Q06096",176,191,11550000,"",""
"P14742",634,644,364100000,"",""
"P07245",594,602,174150000,"",""
"P49367",652,668,65805000,"",""
"P32454",439,458,2819100000,"",""
"P53893",990,997,16611000,"",""
"P07259",495,506,4706400000,"",""
"P00431",89,96,106970000,"",""
"P51998",147,161,5961500,"",""
"Q08979",498,511,6194200,"",""
"P00447",35,55,2057200000,"",""
"P32486",326,339,34550000,"",""
"P38130",325,341,194740000,"",""
"P19097",28,43,310380000,"",""
"P23254",391,410,672630000,"",""
"P32568",1128,1138,25983000,"",""
"P00925",273,288,3.56e+11,"",""
"P11491",188,205,112590000,"",""
"P42943",478,494,143570000,"",""
"P32074",671,692,535360000,"",""
"P18239",67,75,64419000,"",""
"Q04781",815,829,28217000,"",""
"Q06505",370,384,46326000,"",""
"P39009",137,157,8405400,"",""
"P32582",300,322,1.563e+09,"",""
"P38088",213,228,1224500000,"",""
"Q12029",16,24,18361000,"",""
"P53941",58,87,18098000,"",""
"P40217",180,197,305380000,"",""
"P42846",265,278,42252000,"",""
"P32908",544,554,6732400,"",""
"P41057",34,40,57230000,"",""
"P08518",866,879,43878000,"",""
"Q06178",109,120,3664500,"",""
"P38701",90,102,232130000,"",""
"P09959",9,22,6670500,"",""
"Q03655",223,242,170970000,"",""
"P29366",45,54,5816600,"",""
"P19812",51,72,77624000,"",""
"P23291",500,511,28725000,"",""
"P37292",80,88,99057000,"",""
"P53261",525,537,46459000,"",""
"P40303",120,146,32780000,"",""
"P28241",37,53,475810000,"",""
"P10869",167,196,230990000,"",""
"P37898",204,211,29785000,"",""
"P41810",832,857,184820000,"",""
"P09440",399,414,238540000,"",""
